"","condition","other_party","other_attitude","Q1.attT1_1","Q2.att_1","Q3.receparg","Q4.recepoarg","Q5.recepgen","Q6.recepogen","Q7.valueco","Q7.valuewv","Q8.valuemoral","Q9.compcheck","Q11.similarlib","Q11.similarcons","Q11.conslibotherMC","Q12.importance","dem.ideology","dem.state","dem.gender","dem.gender_TEXT","dem.age","dem.eth_1","dem.eth_2","dem.eth_3","dem.eth_4","dem.eth_5","dem.eth_6","dem.eth_7","optin_1","optin_2","optin_3","FR.question","Exclude"
"92","control","conservative","against",91,91,5,7,5,5,4,3,6,1,5,2,6,1,2,"AR",1,"",35,NA,NA,NA,NA,NA,1,NA,1,1,1,"Doctors will make less money. The healthcare industry in general, including pharmaceuticals, will not generate as much money, which will destroy jobs. Wait time to see physician will increase. Fewer attendees to medical school. To get the best healthcare in a timely manner you will still have to pay for it, so increase in taxes and an increase in your expenses since we all know companies won't give it to you, and most likely won't give raises (in general) to compensate for their gain. So the working American people will basically subsidize the less fortunate twice.",""
"93","PT","conservative","against",100,100,1,3,3,2,7,7,7,1,6,2,6,6,2,"Oregon",2,"",32,NA,NA,NA,NA,NA,1,NA,1,1,1,"It makes no sense paying for other people’s insurance. I want to spend my money on my life, not have to pay for some poor prostitute that needs another abortion.",""
"94","control","conservative","against",100,100,5,5,5,5,5,6,6,1,7,1,6,7,1,"Oregon",1,"",53,NA,NA,NA,NA,NA,NA,1,1,1,1,"People are afraid of government control of health care decisions.  They are afraid of having their choices limited by bureaucrats.",""
"95","control","liberal","against",60,54,7,4,5,5,1,1,1,1,3,5,3,5,5,"Georgia",1,"",33,NA,NA,NA,NA,NA,1,NA,1,1,1,"Cost. Its unfair to make people pay for others health issues.",""
"96","PT","conservative","against",100,100,2,2,2,2,6,6,6,1,6,2,5,7,1,"Michigan",2,"",27,NA,NA,NA,NA,NA,1,NA,1,1,1,"That taxes will increase to pay for universal healthcare which will place an undue burden on hardworking people. ",""
"97","control","conservative","against",100,100,2,2,3,3,6,7,7,1,4,3,7,6,2,"California",1,"",33,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"It isn't fair for hard working people to have to pay for other people's illness. More people will not work or be less productive if they don't have to work to support their medical costs. ",""
"98","PT","conservative","against",100,100,1,1,1,2,7,7,7,1,7,1,6,7,1,"Oregon",1,"",23,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"They might like the healthcare that we have now, because they only consider what works for themselves and not others",""
"99","control","conservative","against",100,100,4,5,7,5,7,7,7,1,7,7,3,7,3,"Nebraska",1,"",37,NA,NA,NA,NA,NA,1,NA,1,1,1,"Not enough money. We shouldn’t give handouts. Not the govt problem.",""
"100","PT","conservative","against",83,85,5,6,2,3,2,2,2,1,7,4,5,6,2,"California",1,"",28,NA,1,NA,NA,NA,NA,NA,1,1,1,"One argument I imagine he might have against universal healthcare is how to pay for it. Specifically, he may be worried about how resources shifting around to fund the program will affect him e.g. fines for lack of coverage, what will happen to his current coverage/doctor, will taxes increase, will the treatments/medicines he needs be available etc.",""
"101","PT","conservative","against",100,100,5,4,4,5,5,5,5,1,3,4,4,4,1,"MI",1,"",34,NA,NA,NA,NA,NA,1,NA,1,1,1,"Support universal health care by all accounts. They support it to the fullest extent of the law. ",""
"102","control","conservative","against",100,100,7,1,1,1,7,7,7,1,7,3,6,7,1,"Mo",2,"",32,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Conservatives believe that people should 'just work harder' and 'get a better job' that provides healthcare. They think they will pay an exorbitant amount in taxes to 'fund poor people's laziness' ",""
"103","PT","conservative","against",100,100,1,1,1,1,7,7,7,1,5,2,5,7,1,"Utah",1,"",59,NA,NA,NA,NA,NA,1,NA,1,1,1,"Government is not in the healthcare business and healthcare should remain private",""
"104","control","conservative","in support of",40,63,4,4,5,5,5,4,5,1,3,5,5,5,3,"CA",1,"",35,NA,1,NA,NA,NA,NA,NA,1,NA,NA,"It is fair for everyone to have health care. People will not be worried about being ill and could be focused on work.",""
"105","control","conservative","against",100,100,7,5,2,2,7,7,7,1,3,1,5,7,1,"D.C.",1,"",37,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"It is not true socialism. It's a state run activity to allow all citizens to take part in a free market. ",""
"106","PT","conservative","against",100,100,2,4,1,2,6,6,6,1,7,2,6,7,1,"WI",1,"",27,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Implementing universal health care would require a tax increase. Also, some individuals would receive lower quality care than they currently have access to.",""
"107","PT","liberal","in support of",0,0,3,4,2,2,4,4,5,1,1,7,2,2,6,"Ohio",1,"",20,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"That healthcare is a basic human right. It has worked for other countries and should be implemented in the US",""
"108","control","liberal","in support of",0,0,3,5,2,2,5,5,5,1,2,6,3,6,7,"Arizonia",1,"",39,NA,NA,NA,NA,NA,1,NA,1,1,1,"The job of the government is to take care of its people. The government should therefor provide for everyone's healthcare.",""
"109","PT","conservative","in support of",0,0,5,5,4,5,2,3,3,1,6,5,5,5,2,"California",1,"",34,NA,NA,NA,NA,NA,NA,1,1,NA,1,"The fact that the declaration of independence supports the right to life, liberty and the pursuit of happiness. Health care, in a sense, can be regarded as part and parcel of life and the pursuit of happiness. Thus, the founders were in support of UHC.",""
"110","control","liberal","in support of",20,20,3,7,1,7,6,7,7,1,5,5,2,1,5,"",1,"",56,NA,NA,NA,NA,NA,1,NA,1,1,1,"One argument is that if everyone is covered, costs will go down due to government's ability to negotiate with health care providers in ways that individual patients cannot and because costs from unnecessary treatments, especially at end of life, can be better controlled.",""
"111","PT","conservative","against",100,100,2,4,2,3,6,6,7,1,7,2,5,6,1,"Nebraska",2,"",30,NA,NA,NA,NA,NA,1,NA,1,1,1,"The cost to the government of providing healthcare to all citizens is too high. ",""
"112","control","liberal","against",75,75,3,3,5,4,1,1,1,1,1,7,1,7,7,"Washington",2,"",40,NA,NA,NA,NA,NA,1,NA,1,1,1,"The burden of higher taxes for some individuals. Not to mention oversight. It would surely impact insurance companies, causing high unemployment rates for that industry. ",""
"113","control","conservative","in support of",10,10,5,7,7,7,5,6,1,1,6,4,5,6,2,"Texas",1,"",33,NA,1,NA,NA,NA,NA,NA,1,1,1,"As a developed nation, we have a responsibility to ensure that no one suffers in the country due to lack of adequate healthcare. If the well being of citizens cant be ensured, what is the point of being developed? Many people cant afford these benefits and that is why we need universal health care.",""
"114","PT","conservative","against",85,85,2,1,2,3,7,7,7,1,6,4,6,6,2,"Colorado",2,"",32,NA,NA,NA,NA,NA,1,NA,1,NA,1,"Universal healthcare will raise taxes, which hurts the middle class. It also provides costly treatments for those who he believes do not contribute to society like he does, and he therefore does not feel obligated to pay for someone else.",""
"115","control","conservative","against",100,100,7,7,3,2,1,1,1,1,7,7,5,7,2,"ID",1,"",28,NA,NA,NA,NA,NA,1,NA,1,1,1,"There is a good amount of people working jobs in the insurance agency. These people would be part of the ""Fat"" trimmed by UHC savings. I just do not want them to get left behind because their industry will die. The reason people hate renewable energy is they got left behind when they stuff like coal mines closed. ",""
"116","PT","conservative","against",100,100,1,2,7,2,6,6,6,1,6,4,6,7,1,"Texas",1,"",30,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Restriction of availability of medical treatment through quotas/queues. Restriction on choice of medical practitioner. Increase in people being denied treatment.",""
"117","PT","conservative","in support of",20,9,2,5,2,4,5,5,4,1,5,5,3,3,4,"California",1,"",25,NA,NA,NA,NA,NA,1,NA,1,1,NA,"Health care is a basic human right and therefore it is our duty to protect our fellow citizens from disease and illness.",""
"118","control","conservative","against",100,100,2,2,2,2,6,6,7,1,7,1,6,7,2,"Missouri",1,"",40,NA,NA,NA,NA,NA,1,NA,1,1,1,"Why should one person be mandated to pay for another. The taxes required to implement UHC would be a burden on the taxpayer.",""
"119","PT","conservative","against",84,84,6,4,2,3,1,1,1,1,6,2,4,7,3,"OH",2,"",60,NA,NA,NA,NA,NA,1,NA,1,1,NA,"Healthcare is such a fundamental part of human well-being that it should be provided to all citizens. People who are ill or injured without access to healthcare are less able to function and fall further into poverty.",""
"120","control","conservative","against",50,50,7,7,7,7,4,4,5,1,5,3,4,5,2,"North Carolina",2,"",20,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"It’s too expensive/who will pay for it",""
"121","control","conservative","against",70,70,4,5,2,5,3,4,3,1,3,3,5,6,3,"PA",1,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"the root definition of the word ""free""; these programs will come with a cost for the taxpayer. Entire committees will need to be established and properly funded in order to allocate the proper treatments and faculties.",""
"122","PT","conservative","against",100,100,1,3,3,2,7,6,7,1,5,3,5,7,1,"California",2,"",55,NA,NA,NA,NA,NA,1,NA,1,1,1,"OK, my keyboard key tat comes between g and i is broken, so bear wit me. Peraps my opponent may tink tat universal ealt care would someow break te budget. Or maybe e is simply opposed to ealt care being given to tose e tinks do not deserve it. (i.e., ""lazy poor,"" immigrants etc.)",""
"123","control","liberal","in support of",0,0,2,5,1,1,7,7,3,1,1,6,1,6,6,"Arizona",1,"",50,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Everyone should have access to health care in this country.  Being an economic leader, we can afford it.",""
"124","PT","conservative","against",100,100,3,3,2,3,4,4,3,1,7,2,6,7,1,"Kentucky ",2,"",29,NA,NA,NA,NA,NA,1,NA,1,1,1,"Increase debt or taxes ",""
"125","control","conservative","against",100,100,3,6,2,3,4,4,3,1,6,4,5,7,2,"Texas",2,"",31,NA,NA,NA,NA,NA,1,NA,1,1,1,"One concern I've seen about universal healthcare is that the government would have more control over the populations healthcare. In the past, government programs or representatives have conducted experiments on subjects without their informed consent, or have subjected them to elective surgery (including sterilization) against their wishes, often without even informing the person.",""
"126","control","conservative","against",100,100,1,2,2,2,7,7,7,1,7,2,6,7,1,"Alabama",2,"",49,NA,NA,NA,NA,NA,1,NA,1,1,1,"Our tax dollars should not go towards funding the lazy, especially since the government is highly wasteful as it is. It would create a culture of dependency and no one would want to work, this is just an expansion of the welfare state.",""
"127","PT","conservative","against",100,100,6,3,1,2,1,1,1,1,6,4,6,7,2,"FL",2,"",32,NA,NA,1,NA,NA,NA,NA,1,NA,1,"UHC has been proven time and again to be cheaper for everyone in the long run.",""
"128","control","conservative","against",100,100,4,7,5,5,4,3,7,1,5,3,7,6,2,"NJ",2,"",37,NA,NA,1,NA,NA,NA,NA,1,1,1,"it will raise the cost of healthcare in general. People also are immediately against something that means their taxes will go up.",""
"129","control","conservative","against",100,100,1,6,7,5,7,5,4,1,7,5,4,1,3,"New York ",1,"",36,NA,NA,NA,NA,NA,1,NA,1,NA,1,"Access to healthcare by all would increase the workload of an already strained healthcare system. It would also increase wait times for patients at doctors offices.",""
"130","control","conservative","against",100,100,2,2,1,1,4,4,4,1,5,2,5,7,2,"WA",2,"",37,NA,1,NA,NA,NA,NA,NA,1,1,NA,"The cost in taxes that would be needed to implement UHC.  It would raise taxes that people pay.  ",""
"131","PT","conservative","against",100,100,4,4,4,4,4,4,4,1,4,4,7,7,1,"California",2,"",23,NA,NA,1,NA,NA,1,NA,1,1,1,"The other user might be wondering who will pay for UHC given that there is no such thing as free money. The money needs to come from somewhere, usually it comes from raising taxes on Americans, she as himself. No one wants to pay higher taxes.",""
"132","PT","conservative","against",100,100,2,2,2,2,7,7,7,1,7,4,6,7,1,"Arkansas",2,"",36,NA,NA,NA,NA,NA,NA,1,1,1,1,"They do not want to have to 'pay for' insurance for other people. They do not think it's fair or necessary to have to pay into a system they don't (think they) need. They don't like 'big government' and don't want it 'in their business,' as it were, with regards to the type of health care coverage they have or what services are or are not covered. They think it's not a good use of taxes; they may possibly be against any taxes at all. They believe the free market can cure/solve all.",""
"133","control","liberal","in support of",20,20,4,5,4,5,3,5,3,1,3,5,2,3,5,"New Mexico",1,"",31,NA,NA,1,NA,NA,NA,NA,1,1,1,"Everyone will have healthcare.  Everyone will have access to health care and a doctor.   People will be healthier.  People who are in bad health will not have to pay so much",""
"134","PT","conservative","against",100,100,2,4,2,4,2,1,1,1,6,3,5,7,1,"Maryland",1,"",22,NA,NA,NA,NA,NA,1,NA,1,1,1,"UHC simply costs too much. The U.S.'s overall deficit is already staggering, and UHC would push us even farther into debt. Additionally, the government, and in extension my tax dollars, should not pay for another's health costs, especially since many poor health outcomes stem from poor personal life choices. ",""
"135","PT","conservative","against",90,90,2,5,3,5,5,6,7,1,5,3,6,6,2,"California",1,"",22,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"This individual is apprehensive of higher taxes. He also worries about perceived socialism",""
"136","control","liberal","in support of",0,0,1,5,3,1,7,7,1,1,5,5,2,7,7,"Alaska",1,"",39,NA,NA,NA,NA,NA,NA,1,1,1,1,"...that health care is a right and thus all persons must have equal access to it. This can generally be assumed to mean a single payer system is required. ",""
"137","PT","conservative","against",100,100,2,3,2,1,6,6,5,1,1,1,5,7,1,"Nevada",1,"",19,NA,NA,NA,NA,NA,1,1,1,NA,NA,"It would cost too much of the federal budget to implement and would create rising wait times in emergency situations ",""
"138","control","conservative","against",81,81,3,4,3,2,6,6,6,1,5,3,6,6,3,"WA",1,"",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"One argument is that it will cost too much. Adopting universal healthcare would require increasing taxes and the people hit hardest would be lower and middle class people.",""
"139","PT","conservative","against",100,100,6,6,5,5,5,5,5,1,6,2,5,6,2,"PA",2,"",30,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"An unfair increase in taxes, that the rest of society should not have to pay for the health care of the uninsured or underinsured",""
"140","PT","conservative","against",100,100,4,3,3,4,4,5,5,1,5,5,6,6,1,"Oregon ",2,"",27,NA,NA,1,NA,NA,1,NA,1,1,1,"Wait times and will be outrageous. Medical professionals won’t be paid enough. Incentive for innovation will go out the window. Medical care will be poor and rushed. Taxes will increase. Regulation will increase. The free market won’t be allowed to do what it needs to do. ",""
"141","control","conservative","against",80,80,7,4,7,7,4,3,3,1,2,2,4,7,3,"NY",1,"",32,NA,NA,NA,NA,NA,1,NA,1,1,1,"Single payer systems have more control over one's choice of physician and access to specialists. Not different from a medical insurance, there's just no variance because everyone's on the same plan.",""
"142","control","liberal","in support of",10,10,2,3,2,3,7,6,4,1,2,4,3,6,6,"WA",1,"",45,NA,NA,NA,NA,NA,1,NA,1,1,1,"There should be a basic human right for healthcare for everyone. It isn't fair that the wealthy can afford better care than those who are less fortunate, and not everyone can work for an employer who offers a good health plan.",""
"143","PT","conservative","against",100,100,4,3,2,3,6,5,6,1,5,3,5,6,2,"Oklahoma",2,"",36,NA,NA,NA,NA,NA,1,NA,1,1,1,"Universal health care is too expensive, and there’s no practical way for the government to pay for it.",""
"144","control","conservative","against",100,100,2,3,1,2,6,7,7,1,5,1,6,7,2,"Illinois",2,"",37,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"It creates a lack of incentive among medical professionals to invest in research and innovation because prices are depressed through government funding. If we have universal health care, individuals don’t have the incentive to make good lifestyle choices to increase their health and rely less on healthcare. The healthcare insurance industry as we know it is a major source of jobs that would have to be eradicated or transitioned. Universal health care will limit choices for consumers. ",""
"145","control","liberal","in support of",20,20,4,4,4,4,2,4,3,1,5,5,3,6,5,"CA",1,"",21,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"The healthcare industry is flooded with fees and high expenses and they often occur in a short amount of time. This means while pretty much everyone can afford $10 a month, they often can't afford a huge bill at once. By having universal healthcare, it can help avoid situations where falling ill leads to crippling debt and or financial stress. ",""
"146","control","conservative","against",100,100,7,7,5,5,4,4,4,1,6,3,6,7,2,"California",2,"",31,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"(I'm assuming this is for universal healthcare in the U.S.) /  / One argument against universal healthcare in the U.S. is that there isn't an agency that would run universal healthcare efficiently. As shown via the tax system and the veteran health administration scandal of 2014, the government isn't the best at administrating and managing some programs. ",""
"147","PT","conservative","against",100,100,1,4,1,2,1,1,3,1,5,3,6,7,1,"New York",2,"",25,NA,NA,NA,NA,NA,NA,1,1,1,1,"This will cause tax increases across the board, squeezing the lower middle-class and upper working class who already get hit with high taxes.  /  / By legalising Universal Health Care, many people who can afford to pay for healthcare themselves would likely drop expensive health insurance in favour of ""free"" treatment,  which would increase pressure on the ""public"" healthcare system.",""
"148","PT","conservative","in support of",26,26,5,4,3,4,2,2,2,1,4,2,4,2,3,"Illinois",NA,"",36,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Universal Healthcare is basic human right which a first world country ought to guarantee to its citizens. The countries which have implemented UHC have both lower costs and better outcomes than the U.S.",""
"149","control","liberal","in support of",35,35,3,3,3,3,4,5,6,1,2,4,2,4,5,"Florida",1,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"Ease of access for all people. Standardized care for all. Governing body for regulation",""
"150","control","liberal","against",100,100,7,7,5,4,4,4,4,1,3,3,1,7,4,"Arizona",1,"",21,NA,NA,NA,NA,NA,1,NA,1,1,1,"It would be expensive to implement.",""
"151","PT","conservative","against",85,80,5,5,3,4,4,4,6,1,5,4,6,7,3,"WA",2,"",26,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"The government shouldn't be involved so closely in the everyday lives of the citizens. Universal healthcare would remove autonomy of the individual to make important decisions regarding their own health care. Healthy individuals shouldn't have to subsidize unhealthy ones via taxes paid.",""
"152","control","conservative","against",100,100,1,2,3,3,7,7,7,1,5,2,5,6,1,"NJ",2,"",44,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Healthcare is a privilege and a service and not a right.  If I choose not to carry coverage, I should be able to do so rather than be forced to pay out of pocket for a service that I may not use.  Universal Healthcare will cause inferior care ultimately because doctors won’t be paid well for their services.",""
"153","PT","conservative","against",100,100,3,2,1,1,5,4,4,1,5,2,5,7,3,"Vermont",3,"MtF",21,NA,NA,NA,NA,NA,1,NA,1,1,1,"Universal Healthcare could be expensive and that money will have to come from somewhere. ",""
"154","control","conservative","against",99,100,1,1,1,1,7,7,7,1,7,1,7,7,1,"Rhode Island",2,"",39,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Illogical, but people don't want their money going towards helping others. They feel entitled to determine how their tax dollars are used and do not trust the government to make that decision. They also feel superior to people who aren't as fortunate as themselves, and they feel the less fortunate are also less deserving. ",""
"155","PT","conservative","against",100,100,1,2,1,2,7,7,7,1,6,1,5,7,1,"Missouri",3,"Trans woman",34,NA,NA,NA,NA,NA,1,NA,1,1,1,"Providing healthcare from the government squashes competition, potentially meaning longer wait times, and higher costs. It may also mean that some people who do not pay taxes will receive healthcare at the expense of others.",""
"156","PT","conservative","against",75,70,5,5,3,3,4,5,4,1,5,3,5,6,3,"Virginia",1,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"The taxes in order to pay for universal healthcare would be too high for the common regular taxpayer. Another reason would be potentially over abundance of patients and not enough healthcare professionals to fill the need.",""
"157","control","conservative","in support of",25,24,5,4,4,5,6,4,3,1,4,4,5,6,1,"CALIFORNIA ",1,"",31,NA,1,NA,NA,NA,NA,NA,1,NA,1,"Universal Health care is a right. It is garunteed to the people by the government. The government should provide Universal Health Care to all citizens.",""
"158","control","conservative","against",100,100,3,3,2,3,3,3,3,1,7,3,5,6,2,"Florida",2,"",55,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Lower quality of care. It will take a long time to receive needed health care, waiting lists. People will be denied care",""
"159","PT","conservative","against",100,100,1,1,1,1,7,7,7,1,6,2,7,7,1,"MI",1,"",38,NA,NA,NA,NA,NA,1,NA,1,1,1,"Cost - Cut out profits & executive salaries. / I don't need, I'm prepared - You will or may. / Private sector job loss - Mostly executives & middle management.",""
"160","PT","conservative","against",100,100,1,2,1,2,7,7,7,1,3,2,5,7,1,"Ohio",1,"",20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Government interference will worsen healthcare. We should allow health insurance companies to compete with one another. This encourages companies improve their standards in order to attract more customers in order to get ahead their competitors, producing a win-win situation: the company thrives and the customer receives a good product. ",""
"161","control","conservative","against",83,87,3,3,3,2,7,7,7,1,7,4,5,5,2,"California ",2,"",21,NA,NA,1,NA,NA,NA,NA,1,1,1,"It’s uncertain if it will work. It might also cost too much. There might also be the free market argument. It will also increase the amount of work the government needs to do which will go against the beliefs of those who want small government.",""
"162","PT","conservative","against",100,100,4,4,3,2,4,2,6,1,5,2,6,6,2,"Kentucky ",1,"",32,NA,NA,NA,NA,NA,1,NA,1,1,NA,"Universal healthcare will be too expensive to implement. An expensive new program will require raising taxes dramatically to fund it. ",""
"163","control","conservative","against",100,100,1,4,1,4,7,7,3,1,5,3,6,7,1,"California",4,"",39,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Universal healthcare will not work in the US because the US is different than other countries.  The culture and the people in the US are exceptional.",""
"164","PT","liberal","in support of",3,1,5,6,2,2,3,5,5,1,5,6,2,7,5,"AZ",1,"",19,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Healthcare is too expensive for everybody, especially disabled and lower-income. Many Americans will be put in a position where they cannot afford healthcare nor afford insurance for either themselves or their children. Which is extremely shitty. ",""
"165","PT","conservative","against",100,100,1,1,1,1,7,7,7,1,5,1,5,6,1,"WI",3,"",22,1,NA,NA,NA,NA,NA,NA,1,1,1,"It costs too much money and it's practically socialism. Everyone's taxes will increase and people will abuse the system. UHC can't work in America because ... blah blah American exceptionalism.",""
"166","control","conservative","against",80,75,4,5,4,5,4,5,3,1,5,3,5,6,3,"Utah",1,"",34,NA,NA,NA,NA,NA,1,NA,1,1,1,"It might be difficult to fund at first and would increase the reach of the federal government.",""
"167","control","conservative","against",82,82,2,3,3,3,5,2,6,1,5,4,5,5,2,"California",1,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"It is costly to implement, and difficult to transition a healthcare system with 300 million patients from its current market-based state to a universal right.",""
"168","PT","conservative","against",100,100,2,2,1,1,4,4,5,1,6,2,6,6,2,"Iowa",2,"",26,NA,1,NA,NA,NA,NA,NA,1,1,1,"It's too expensive/will raise taxes, the government cannot be trusted with people's health and lives, the free market yields better results",""
"169","PT","conservative","against",100,100,4,5,1,5,4,4,4,1,3,3,6,7,4,"California",2,"",25,NA,NA,1,NA,NA,1,NA,1,1,1,"By providing care for everyone we would need to personally take money out if our pockets in the form of taxes. No one likes higher taxes.",""
"170","control","conservative","against",100,100,3,3,3,2,7,7,7,1,7,2,6,7,3,"Michigan",2,"",36,NA,NA,NA,NA,NA,1,NA,1,1,1,"One argue meant against universal health care is the fact that it requires increases in taxes. One person may end up paying more and having to subsidize others who are not paying taxes.",""
"171","control","conservative","against",75,75,3,4,3,5,4,3,4,1,6,6,5,6,2,"Missouri",1,"",27,NA,NA,NA,NA,NA,1,NA,1,1,1,"It would potentially take a long time for people to get care/treatment if everyone had access to it who wanted it. Government sponsored programs are notorious for having to go through a lot of hoops and I have heard from people in countries with UHC  that sometimes they have to wait a long time to be seen by the doctor. ",""
"172","PT","conservative","against",93,93,2,3,1,1,7,7,7,1,5,2,6,6,2,"TN",2,"",48,NA,NA,NA,NA,NA,1,NA,1,1,1,"I work and pay for my health insurance, if we have universal healthcare tons of people will be getting free healthcare while I pay for it.  / The government should spend its money on other things than this, see point 1 / ",""
"173","control","conservative","against",100,100,2,2,1,1,7,7,7,1,5,2,6,7,1,"NY",2,"",41,NA,NA,NA,NA,NA,NA,1,1,1,NA,"One argument against universal health care is that it would deincentivize people to take care of themselves and stay healthy, and that people should pay for the consequences of their own unhealthy habits. Also, some who are against it feel that the quality of care will decrease. ",""
"174","PT","conservative","against",100,65,5,7,5,7,1,1,1,1,7,4,5,7,3,"Minnesota ",2,"",21,NA,1,NA,NA,NA,NA,NA,1,NA,NA,"Insurance is intended to take money from people who don't need it and give it to the people that do. Most people pay for something they don't use. ",""
"175","control","conservative","against",96,95,5,5,3,5,4,4,4,1,4,2,7,2,2,"ohio",2,"",26,NA,NA,NA,NA,NA,1,NA,1,1,1,"It will raise taxes.",""
"176","control","conservative","against",100,100,4,4,2,2,6,6,6,1,4,5,7,7,3,"CA",2,"",51,NA,NA,NA,NA,NA,1,NA,NA,1,NA,"The entire insurance industry will be left jobless. So many lost jobs are bad for the economy. Why punish insurance workers just to push the liberal agenda?",""
"177","PT","conservative","against",91,92,2,3,2,3,6,6,6,1,5,2,5,6,2,"Oregon ",1,"",37,NA,NA,NA,NA,NA,1,NA,1,1,NA,"We shouldn’t reward people who don’t work. We can’t give out something for free or it will destroy self initiative.",""
"178","PT","conservative","against",100,100,4,3,4,4,7,7,7,1,3,1,6,7,1,"NY",1,"",44,NA,NA,NA,NA,NA,1,NA,1,1,1,"It will cost too much money. ",""
"179","PT","conservative","against",100,100,1,5,3,2,7,7,7,1,7,4,7,7,1,"Arkansas",1,"",31,NA,NA,NA,NA,NA,1,NA,1,1,1,"Some people are against socialized healthcare because they feel that all forms of socialism are bad and that socializing American Health Care System would be a government overreach",""
"180","control","conservative","against",100,100,2,1,1,1,7,7,7,1,4,1,7,7,2,"California",2,"",37,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"I'm a selfish asshole and I want people to die. I think natural selection means that people who get sick and die will make Americans a stronger ""race"". I also think that preventing universal healthcare will somehow prevent immigrants stealing things from me.",""
"181","PT","conservative","against",100,100,4,4,2,3,3,3,6,1,6,3,6,7,2,"PA",1,"",27,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"That taxpayers shouldn't be held accountable for other people's health issues, especially those who don't take care of themselves. Health care is also considered a privilege and not a right.",""
"182","control","liberal","against",100,100,4,3,4,4,4,7,4,1,4,4,3,5,4,"Florida",1,"",30,1,NA,NA,NA,NA,NA,NA,1,1,1,"Universal healthcare could be an expensive endeavor.  In theory it could have limitless cost and become unsustainable, or bring down the quality of healthcare.",""
"183","PT","conservative","against",100,100,1,2,1,2,1,1,1,1,7,2,7,7,1,"New York",2,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"People should be responsible for their own health care and should not have to pay for other's health. People should also not need to pay for health care when they are not needing it.",""
"184","PT","conservative","against",100,100,2,2,1,2,6,3,6,1,7,1,6,7,2,"NM",2,"",37,NA,NA,1,NA,NA,1,NA,1,1,NA,"UHC could be considered socialism. This may cause people to not want to work. ",""
"185","control","conservative","against",100,100,5,4,3,2,6,6,6,1,7,2,5,7,2,"Michigan",1,"",23,NA,NA,NA,NA,NA,1,NA,1,1,NA,"If universal healthcare is implemented there will be longer waiting periods to see medical professionals than our current system. This could potentially worsen an individual’s health while they are awaiting care.",""
"186","PT","conservative","against",83,82,4,3,5,5,6,6,5,1,5,2,6,6,3,"Alabama",2,"",22,NA,1,NA,NA,NA,NA,NA,1,NA,NA,"Possibility of higher taxes overall",""
"187","control","conservative","in support of",40,40,3,5,3,5,5,4,4,1,3,5,3,5,4,"North Carolina ",1,"",18,NA,NA,NA,NA,NA,1,NA,1,1,1,"Health insurance can be extremely expensive, and for many to such a degree that it is prohibitive. So, having the government pay for healthcare theoretically allows all citizens to have adaquete health care and unburdened poor individuals, and companies who provide health insurance to employees.  ",""
"188","PT","conservative","against",95,95,2,4,2,3,6,6,4,1,6,3,5,7,1,"Minnesota ",1,"",18,NA,NA,NA,NA,NA,1,NA,1,1,1,"The cost of implementing and maintaining universal healthcare might be greater the cost of improving the current system. As long as the healthcare market is competitive, market forces will more efficiently distribute quality care.",""
"189","control","conservative","against",91,90,3,4,6,4,4,5,4,1,3,2,6,6,3,"New Mexico",1,"",18,NA,NA,1,NA,NA,1,NA,1,1,1,"One argument against universal health care us the cost. Like social security and other societal programs UHC often requires a significant portion of a governments budget to finance.",""
"190","PT","conservative","against",100,100,1,2,1,2,7,7,7,1,7,1,5,6,2,"Indiana",2,"",32,NA,NA,NA,NA,NA,1,NA,1,NA,1,"The burden on taxpayers is too high. It would force the many to take care of the few. I don’t want to pay for healthcare for someone who has made bad life decisions (smoking, drugs, overeating etc).",""
