PNo;Gender;Age;SuccessSlopeCond;InfPRIMARYControl;ThreeInARowCond;Canadian;DBC_IOC_HotMachine;DBC_IOC_Familiar;DBC_Sup_MagicNos;DBC_IOC_DiceWin;DBC_Sup_Ritual;DBC_Sup_Horoscope;DBC_Sup_PlayerVsMach;DBC_Sup_Fate;DBC_IOC_GamblingSystem;DBC_IOC_HeadsTails;DBC_Sup_ChanceGame;DBC_IOC_Secrets;DBC_Sup_LuckyPen;DBC_Sup_LuckyClothes;DBC_IOC_LotteryNos;DBC_IOC_Sportsperson;DBC_IOC_BornLucky;DBC_Sup_Superstitious;DBC_IOC_LongLosing;DBC_IOC_MachineSystem;DBC_Sup_LuckyCharm;DBC_Sup_LotterySystem;DBC_Sup;DBC_IOC;DBC_Total;SoccerInterest;QAccListSkill;QAccListLuckyMoments;QAccListPlayers;QAccListStrategy;QAccListLuckyPlay;QAccListLuck;QAccListLuckyPerson;QAccListSoccerKnowl;QAccListBET;QAccListCHANCE;QAccListPractice;QAccListComputerGames;QAccListDeserve;QAccListGoalieMoves;QAccListKickDirn;QStrategyPresent;QStrategyDescr;Q100RoundsGoal;QChancesOfWinning;QChancesOfWinning_Odds;QHowManySingle;QHowManySingleCaptionType;QHowManySingleWins;QOutcomeSeq;QOutcomeSeqOther
53;1;20;End;-0.905497834;Present;1;Disagree;Disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Neutral;Disagree;Disagree;Neutral;Agree;Neutral;Disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;22;25;47;Mildly;0;5;0;5;0;0;0;0;5;8;0;2;0;0;0;No;                                                                                                                                                                                                        ;12;8;12.5;90;misses;10;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
54;1;18;Beginning;-0.296515035;Present;1;Neutral;Neutral;Agree;Disagree;Disagree;Agree;Disagree;Agree;Neutral;Agree;Disagree;Agree;Disagree;Disagree;Agree;Agree;Agree;Neutral;Agree;Neutral;Disagree;Disagree;29;38;67;Strongly;6;7;5;5;3;2;0;0;5;7;0;0;5;0;5;No;                                                                                                                                                                                                        ;15;6;16.66666667;70;misses;30;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
55;1;19;U-shaped;-0.713556516;Present;0;Disagree;Disagree;Disagree;Neutral;Disagree;Neutral;Disagree;Neutral;Neutral;Disagree;Disagree;Disagree;Disagree;Neutral;Agree;Neutral;Neutral;Neutral;Disagree;Disagree;Disagree;Neutral;27;28;55;Mildly;0;2;4;1;1;0;1;1;8;9;0;0;0;2;4;No;                                                                                                                                                                                                        ;10;10;10;10;goals;10;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
56;1;21;End;-1.070898129;Not present;0;Neutral;Disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly agree;Strongly disagree;Disagree;Agree;Strongly disagree;Disagree;Agree;Agree;Disagree;Disagree;Disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;Agree;25;25;50;Strongly;0;5;0;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;8;10;10;90;misses;10;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
57;0;22;Even;-0.255151386;Present;0;Disagree;Agree;Disagree;Neutral;Strongly disagree;Strongly disagree;Neutral;Disagree;Neutral;Disagree;Disagree;Agree;Disagree;Disagree;Agree;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;21;31;52;Very strongly;0;5;0;5;5;0;2;0;0;8;3;0;0;2;5;No;                                                                                                                                                                                                        ;15;15;6.666666667;15;goals;15;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
58;0;18;End;-1.090777008;Present;0;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Disagree;12;15;27;Not at all;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;10;10;90;misses;10;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
59;1;19;Beginning;-1.090777008;Not present;0;Disagree;Disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Disagree;Disagree;Agree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Disagree;Strongly disagree;Disagree;19;25;44;Mildly;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;20;7;14.28571429;75;misses;25;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
60;1;23;Even;-0.783135807;Not present;0;Neutral;Disagree;Disagree;Neutral;Neutral;Agree;Neutral;Agree;Neutral;Disagree;Disagree;Disagree;Disagree;Neutral;Neutral;Disagree;Agree;Agree;Disagree;Disagree;Disagree;Disagree;31;28;59;Strongly;2;0;0;0;0;0;0;0;0;10;0;3;2;0;3;No;                                                                                                                                                                                                        ;20;5;20;75;misses;25;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
61;1;18;Even;0.963084465;Not present;0;Agree;Agree;Disagree;Agree;Disagree;Disagree;Agree;Agree;Neutral;Agree;Agree;Agree;Strongly disagree;Neutral;Neutral;Disagree;Disagree;Neutral;Disagree;Agree;Disagree;Neutral;30;36;66;Mildly;5;5;6;4;2;2;7;2;8;9;7;4;4;2;2;No;                                                                                                                                                                                                        ;34;4;25;30;goals;30;Noticeably more wins occurred at the beginning AND at the end;                                                                                                                                                                                                        
62;1;21;U-shaped;-0.00878254;Present;0;Disagree;Disagree;Disagree;Disagree;Neutral;Strongly disagree;Strongly disagree;Neutral;Neutral;Disagree;Strongly disagree;Strongly disagree;Agree;Agree;Agree;Strongly disagree;Agree;Neutral;Disagree;Strongly disagree;Agree;Disagree;28;24;52;Mildly;2;1;6;0;2;2;5;0;0;7;2;0;2;4;7;No;                                                                                                                                                                                                        ;20;10;10;15;goals;15;Noticeably more wins occurred at the beginning AND at the end;                                                                                                                                                                                                        
63;1;23;Beginning;-0.020369284;Present;4;Agree;Neutral;Strongly agree;Agree;Agree;Neutral;Disagree;Agree;Agree;Strongly agree;Agree;Agree;Strongly agree;Agree;Disagree;Agree;Agree;Strongly agree;Disagree;Agree;Strongly agree;Disagree;43;40;83;Mildly;2;5;6;3;2;2;5;1;5;8;2;2;2;2;3;No;                                                                                                                                                                                                        ;25;5;20;80;misses;20;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
64;0;21;Even;-1.078849681;Present;0;Strongly disagree;Strongly disagree;Disagree;Neutral;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Disagree;Strongly disagree;Strongly disagree;Agree;Neutral;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;20;17;37;Mildly;0;3;0;0;0;0;0;0;5;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;40;6;16.66666667;60;misses;40;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
65;0;20;End;-0.72193261;Not present;0;Strongly disagree;Neutral;Neutral;Disagree;Strongly disagree;Neutral;Neutral;Agree;Strongly agree;Strongly disagree;Neutral;Neutral;Agree;Neutral;Agree;Neutral;Agree;Neutral;Neutral;Agree;Disagree;Disagree;31;33;64;Mildly;1;0;1;9;2;0;0;0;7;10;0;1;0;1;1;No;                                                                                                                                                                                                        ;15;9;11.11111111;12;goals;12;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
66;0;20;Beginning;-0.620860696;Not present;0;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Disagree;Neutral;Agree;Disagree;Strongly disagree;Agree;Disagree;Disagree;Neutral;Disagree;Strongly disagree;18;21;39;Not at all;4;2;0;5;5;0;2;0;7;10;0;0;0;0;3;No;                                                                                                                                                                                                        ;12;8;12.5;50;misses;50;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
67;0;21;Beginning;-1.049300415;Present;0;Disagree;Neutral;Neutral;Disagree;Disagree;Strongly disagree;Disagree;Disagree;Neutral;Disagree;Agree;Neutral;Strongly disagree;Strongly disagree;Disagree;Neutral;Neutral;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Agree;22;27;49;Very little;0;0;2;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;15;5;20;20;misses;80;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
68;1;23;Even;1.072938819;Present;0;Disagree;Neutral;Agree;Neutral;Agree;Disagree;Disagree;Neutral;Agree;Neutral;Agree;Agree;Agree;Neutral;Neutral;Disagree;Agree;Neutral;Disagree;Disagree;Neutral;Neutral;35;32;67;Mildly;4;7;6;3;6;3;5;4;4;8;5;5;5;4;7;No;                                                                                                                                                                                                        ;10;15;6.666666667;2;misses;98;Noticeably more wins occurred at the beginning AND at the end;                                                                                                                                                                                                        
69;1;30;End;1.252476302;Present;21;Disagree;Agree;Strongly disagree;Agree;Disagree;Disagree;Disagree;Agree;Disagree;Agree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Strongly disagree;Agree;Strongly disagree;Strongly disagree;Agree;Disagree;27;25;52;Very strongly;8;9;2;7;2;2;0;5;1;8;7;2;2;5;4;No;                                                                                                                                                                                                        ;30;8;12.5;80;misses;20;Noticeably more wins occurred at the beginning AND at the end;                                                                                                                                                                                                        
70;1;20;End;-0.58239152;Not present;0;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;11;16;27;Strongly;0;0;2;0;1;0;0;0;3;9;3;0;0;0;2;No;                                                                                                                                                                                                        ;5;15;6.666666667;98;misses;2;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
71;1;18;Beginning;-0.396430366;Not present;0;Strongly disagree;Disagree;Neutral;Neutral;Disagree;Strongly disagree;Disagree;Disagree;Disagree;Neutral;Disagree;Neutral;Agree;Agree;Agree;Neutral;Neutral;Neutral;Strongly disagree;Strongly disagree;Disagree;Disagree;27;26;53;Strongly;1;2;1;1;1;2;3;3;4;10;1;1;1;1;4;No;                                                                                                                                                                                                        ;30;8;12.5;70;misses;30;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
72;1;18;Even;-0.925376713;Not present;0;Neutral;Disagree;Disagree;Disagree;Agree;Agree;Strongly disagree;Strongly disagree;Agree;Disagree;Strongly disagree;Neutral;Agree;Agree;Disagree;Strongly disagree;Agree;Agree;Neutral;Disagree;Agree;Agree;33;28;61;Strongly;0;0;0;5;0;0;0;0;8;10;0;2;0;0;0;Yes;I tried to reduce the amount I was betting after I had won for a few rounds so I wouldn't lose a lot since it was unlikely I would win twice in a row.                                                  ;12;6;16.66666667;5;goals;5;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
73;1;18;U-shaped;0.384630336;Not present;1;Disagree;Disagree;Agree;Agree;Disagree;Agree;Agree;Agree;Agree;Neutral;Agree;Disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;42;37;79;Mildly;5;4;3;2;4;4;6;4;6;7;1;3;7;5;2;No;                                                                                                                                                                                                        ;20;7;14.28571429;20;goals;20;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
74;0;18;U-shaped;-1.090777008;Present;1;Strongly disagree;Disagree;Disagree;Neutral;Strongly disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;18;15;33;Very little;0;0;0;0;0;0;0;0;5;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;10;10;10;goals;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
75;1;18;Even;-0.600137235;Present;3;Disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Neutral;Agree;20;19;39;Mildly;1;2;1;1;2;1;1;1;2;10;1;1;1;1;1;No;                                                                                                                                                                                                        ;25;6;16.66666667;15;misses;85;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
76;1;19;End;0.027539578;Present;0;Neutral;Agree;Agree;Agree;Neutral;Disagree;Disagree;Disagree;Neutral;Neutral;Neutral;Neutral;Disagree;Agree;Neutral;Agree;Agree;Agree;Disagree;Agree;Disagree;Disagree;30;37;67;Mildly;0;8;5;3;2;1;1;0;7;9;5;1;4;0;5;No;                                                                                                                                                                                                        ;10;10;10;85;misses;15;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
77;1;22;Beginning;-0.460670528;Present;8;Agree;Agree;Agree;Agree;Neutral;Agree;Neutral;Neutral;Neutral;Disagree;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Agree;Strongly agree;Disagree;Agree;Strongly agree;Neutral;44;39;83;Very little;2;0;5;2;0;2;5;0;8;5;0;5;5;0;0;No;                                                                                                                                                                                                        ;10;6;16.66666667;90;misses;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
78;1;18;End;1.059907693;Not present;0;Disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Disagree;Disagree;Disagree;Agree;Disagree;Disagree;Disagree;Neutral;Disagree;Neutral;Agree;Agree;29;26;55;Mildly;5;4;5;4;5;4;3;3;6;10;5;4;3;5;6;No;                                                                                                                                                                                                        ;5;20;5;5;goals;5;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
79;1;21;Beginning;-1.090777008;Not present;1;Neutral;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Disagree;Neutral;Strongly disagree;Neutral;Disagree;Neutral;Strongly disagree;Strongly disagree;Neutral;Disagree;Disagree;Strongly disagree;Disagree;Agree;Strongly disagree;Strongly disagree;17;27;44;Strongly;0;0;0;0;0;0;0;0;5;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;10;10;25;goals;25;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
80;1;18;Even;0.229399095;Not present;0;Neutral;Agree;Agree;Strongly agree;Neutral;Strongly disagree;Agree;Neutral;Neutral;Agree;Agree;Strongly agree;Disagree;Disagree;Agree;Strongly agree;Disagree;Neutral;Neutral;Neutral;Disagree;Agree;32;41;73;Strongly;1;2;1;4;2;3;5;1;4;7;3;4;5;3;6;No;                                                                                                                                                                                                        ;40;4;25;50;goals;50;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
81;1;21;U-shaped;-0.399409548;Not present;0;Disagree;Agree;Disagree;Agree;Disagree;Strongly disagree;Agree;Disagree;Agree;Strongly disagree;Disagree;Agree;Disagree;Neutral;Agree;Neutral;Disagree;Neutral;Disagree;Agree;Disagree;Disagree;25;34;59;Mildly;1;7;4;3;0;0;2;0;10;9;2;1;3;2;1;No;                                                                                                                                                                                                        ;20;10;10;10;goals;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
82;0;19;End;-1.090777008;Present;1;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Agree;17;18;35;Mildly;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;20;5;20;80;misses;20;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
83;0;18;Beginning;0.592014218;Present;0;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Disagree;Neutral;Disagree;Agree;Disagree;Disagree;Disagree;Agree;Agree;Disagree;Disagree;Neutral;Neutral;Disagree;28;33;61;Mildly;4;6;4;4;6;4;4;3;4;7;3;3;5;4;3;No;                                                                                                                                                                                                        ;35;3;33.33333333;33;goals;33;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
85;0;18;U-shaped;-0.551017141;Present;1;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Neutral;Disagree;18;23;41;Very little;1;1;0;5;2;0;6;1;3;5;1;1;0;1;1;No;                                                                                                                                                                                                        ;20;5;20;20;goals;20;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
86;0;20;End;0.078091581;Not present;0;Agree;Disagree;Disagree;Neutral;Neutral;Agree;Strongly disagree;Disagree;Agree;Strongly agree;Disagree;Disagree;Agree;Strongly agree;Disagree;Disagree;Agree;Disagree;Disagree;Neutral;Disagree;Strongly disagree;28;33;61;Not at all;3;3;1;1;1;1;1;1;8;8;5;0;1;1;5;No;                                                                                                                                                                                                        ;12;9;11.11111111;80;misses;20;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
87;1;19;Beginning;-0.427218406;Not present;1;Neutral;Agree;Agree;Agree;Neutral;Disagree;Agree;Neutral;Agree;Disagree;Neutral;Agree;Disagree;Neutral;Disagree;Agree;Neutral;Agree;Neutral;Agree;Disagree;Strongly disagree;31;37;68;Strongly;3;6;7;1;1;0;1;0;4;9;0;5;3;0;3;No;                                                                                                                                                                                                        ;40;5;20;35;goals;35;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
88;0;18;Even;0.367670135;Not present;1;Disagree;Disagree;Disagree;Agree;Agree;Neutral;Disagree;Disagree;Agree;Agree;Agree;Neutral;Disagree;Agree;Strongly agree;Disagree;Agree;Neutral;Disagree;Agree;Neutral;Disagree;31;36;67;Not at all;5;3;1;5;6;1;6;1;10;8;3;6;4;1;4;No;                                                                                                                                                                                                        ;10;10;10;90;misses;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
89;1;18;U-shaped;0.489239022;Present;1;Neutral;Neutral;Agree;Disagree;Neutral;Agree;Agree;Agree;Agree;Agree;Neutral;Agree;Agree;Agree;Agree;Neutral;Agree;Agree;Disagree;Disagree;Disagree;Disagree;38;35;73;Very strongly;3;7;2;0;4;3;4;2;4;8;4;6;3;2;4;No;                                                                                                                                                                                                        ;40;4;25;70;misses;30;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
90;1;19;U-shaped;1.268762447;Not present;0;Strongly agree;Strongly agree;Strongly agree;Agree;Disagree;Agree;Disagree;Disagree;Neutral;Neutral;Strongly disagree;Agree;Disagree;Agree;Neutral;Agree;Strongly agree;Neutral;Strongly disagree;Strongly agree;Agree;Strongly disagree;30;42;72;Mildly;7;3;2;4;2;2;5;7;2;7;6;4;2;5;6;No;                                                                                                                                                                                                        ;22;5;20;40;misses;60;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
91;0;20;U-shaped;-1.012730402;Not present;0;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Disagree;Neutral;Disagree;Strongly disagree;Disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Neutral;Disagree;Strongly disagree;Disagree;Disagree;19;17;36;Not at all;0;0;0;5;0;0;0;0;5;10;0;0;0;0;0;Yes;Not so much produce goals as I divided the potential winnings by how much it cost to play for each type of bet, to determine which bet was best to make. Of course this assumes that chances of scoring ;17;6;16.66666667;83;misses;17;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
92;0;20;Even;0.952499292;Not present;2;Agree;Disagree;Strongly disagree;Strongly agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly agree;Strongly disagree;Strongly disagree;Strongly agree;Strongly disagree;Strongly disagree;11;28;39;Mildly;10;0;0;10;0;0;0;0;10;10;10;0;5;0;0;No;                                                                                                                                                                                                        ;20;5;20;10;goals;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
93;1;19;End;-0.979138511;Not present;0;Agree;Agree;Neutral;Agree;Neutral;Strongly disagree;Agree;Strongly disagree;Agree;Strongly disagree;Neutral;Disagree;Agree;Agree;Neutral;Neutral;Strongly disagree;Agree;Strongly disagree;Disagree;Strongly disagree;Agree;32;29;61;Mildly;0;0;0;0;0;0;0;0;0;5;0;0;0;0;5;No;                                                                                                                                                                                                        ;20;6;16.66666667;80;misses;20;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
94;0;21;Beginning;1.32741325;Not present;1;Disagree;Neutral;Agree;Disagree;Disagree;Neutral;Disagree;Agree;Disagree;Disagree;Agree;Neutral;Agree;Strongly agree;Agree;Disagree;Disagree;Agree;Disagree;Agree;Disagree;Disagree;36;28;64;Mildly;6;7;7;7;5;3;5;0;6;10;5;8;5;6;7;No;                                                                                                                                                                                                        ;15;4;25;5;misses;95;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
95;1;19;U-shaped;-0.855331776;Present;1;Agree;Neutral;Disagree;Agree;Disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Agree;Strongly disagree;Strongly disagree;Neutral;Agree;Agree;Neutral;Neutral;Neutral;Disagree;Agree;24;36;60;Strongly;0;0;0;0;2;0;0;0;2;5;1;0;0;0;3;No;                                                                                                                                                                                                        ;10;6;16.66666667;10;goals;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
96;1;20;Even;-0.890833954;Present;2;Neutral;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Neutral;Disagree;Disagree;Neutral;Strongly disagree;Disagree;Strongly disagree;Neutral;Neutral;Neutral;Disagree;Neutral;Neutral;Disagree;Disagree;Disagree;Neutral;25;24;49;Mildly;0;0;2;3;0;0;0;0;5;10;0;0;0;0;5;No;                                                                                                                                                                                                        ;15;20;5;80;misses;20;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
97;1;18;Beginning;1.345185485;Present;0;Agree;Disagree;Neutral;Disagree;Agree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Agree;Disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Agree;Disagree;32;24;56;Very little;7;4;7;4;4;4;7;4;4;4;4;7;4;7;4;No;                                                                                                                                                                                                        ;20;15;6.666666667;20;misses;80;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
98;0;22;End;-1.090777008;Present;0;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;11;11;22;Mildly;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;15;10;10;15;goals;15;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
99;1;18;End;0.940810271;Present;1;Disagree;Agree;Agree;Strongly agree;Agree;Agree;Disagree;Agree;Neutral;Disagree;Neutral;Agree;Neutral;Agree;Neutral;Neutral;Agree;Agree;Agree;Agree;Agree;Neutral;39;38;77;Mildly;4;8;5;5;4;2;5;4;3;9;6;5;10;1;5;No;                                                                                                                                                                                                        ;10;2;50;80;misses;20;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
100;0;20;Beginning;0.936822289;Present;0;Disagree;Neutral;Disagree;Neutral;Neutral;Disagree;Agree;Agree;Agree;Disagree;Agree;Disagree;Agree;Agree;Neutral;Disagree;Agree;Agree;Disagree;Agree;Neutral;Disagree;36;31;67;Mildly;3;3;2;4;2;3;3;1;6;9;7;4;3;5;4;No;                                                                                                                                                                                                        ;15;10;10;10;goals;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
101;0;19;Even;0.560350965;Present;1;Agree;Agree;Neutral;Agree;Agree;Strongly disagree;Disagree;Disagree;Agree;Agree;Agree;Agree;Disagree;Strongly disagree;Disagree;Neutral;Agree;Neutral;Disagree;Disagree;Neutral;Strongly disagree;26;37;63;Strongly;3;2;6;5;4;2;3;4;6;8;4;3;2;2;6;Yes;top corners seemed to result in more goals, if hit a dry streek, hit random a few times in a row                                                                                                        ;20;13;7.692307692;70;misses;30;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
102;0;23;End;-1.043949045;Not present;0;Neutral;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Neutral;Agree;Disagree;Neutral;Disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;22;29;51;Very little;0;0;0;3;0;0;0;0;5;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;20;9;11.11111111;85;misses;15;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
103;1;18;Even;-1.090777008;Not present;0;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Disagree;Neutral;Neutral;Agree;Neutral;Agree;Disagree;Disagree;Neutral;Disagree;Neutral;Disagree;Neutral;Neutral;Disagree;Agree;29;34;63;Mildly;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;5;20;10;goals;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
104;0;20;U-shaped;-1.090777008;Present;4;Strongly disagree;Neutral;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;11;20;31;Mildly;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;5;20;5;95;misses;5;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
105;0;21;Beginning;-0.819921722;Not present;0;Neutral;Agree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Neutral;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Disagree;Disagree;Neutral;Disagree;Disagree;22;31;53;Mildly;0;0;0;8;4;0;1;0;6;8;0;0;0;0;3;No;                                                                                                                                                                                                        ;50;10;10;45;goals;45;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
106;0;19;U-shaped;-0.13246387;Not present;0;Disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Neutral;Strongly disagree;Strongly disagree;12;18;30;Strongly;2;0;0;3;0;0;0;0;8;10;5;3;0;0;0;No;                                                                                                                                                                                                        ;25;5;20;70;misses;30;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
