"","X","MID","condition","side","party","Q1.att_1","Q2.attT2_1","Q3.congruent","Q4.fitworldview","Q5.morals","Q6.important","Q7.coremoral","Q8.elab.deep","Q8.elab.effort","Q8.elab.thought","Q9.lib.simval","Q10.cons.simval","recep1.arg","recep2.arg","recep3.gen","recep4.gen","dem.gender","dem.age","dem.eth","dem.ideology","argument.x","att.check","username","timer","argument.y","Exclude."
"399",399,"4ca16ee9","opposing party argument","in favor of","liberal",27,33,4,4,4,4,5,6,5,5,2,5,4,4,4,4,1,2,6,6,"Stay at home parents would be given a form of income. This income would help aid them in helping to support their families. ",3,"d11ad08c",228,"Stay at home parents would be given a form of income. This income would help aid them in helping to support their families. ",""
"400",400,"cb68ce4b","control","against","",80,80,6,6,6,4,5,4,4,3,4,2,1,3,2,3,2,3,6,3,"Money may be taken from taxes paid by people who can afford to pay it. It is important to ensure our military is fully funded to protect our country, and cuts to the military to fund those who need help can cause many problems. ",3,"b23a93b5",1,"Money may be taken from taxes paid by people who can afford to pay it. It is important to ensure our military is fully funded to protect our country, and cuts to the military to fund those who need help can cause many problems. ",""
"401",401,"eb39df8f","same party argument","against","liberal",75,75,2,2,2,2,5,4,4,4,6,1,5,5,5,5,2,3,6,3,"I t may create inequality - some people would have to pay more and more taxes to finance this program. But if country is rich in natural resources that will be ok.",3,"89536662",528,"I t may create inequality - some people would have to pay more and more taxes to finance this program. But if country is rich in natural resources that will be ok.",""
"402",402,"ef927683","opposing party argument","against","conservative",66,64,3,5,6,4,5,6,5,5,4,1,5,6,5,6,2,2,6,3,"A universal basic income would be a drain on the workers in the system paying taxes to support those supported by this system.",3,"56d99c66",568,"A Universal Basic Income would be a drain on the workers in the system paying taxes to support those supported by this system.",""
"403",403,"b48e3be9","same party argument","in favor of","conservative",21,17,6,6,6,2,2,3,3,3,2,5,3,2,2,2,1,2,6,5,"Universal Basic Income is preferable to the entitlement system we have now.  Instead of having dozens of social welfare programs, we can simply have the UBI.  Also, if everyone is receiving UBI, we will no longer have the problem of people scamming the social welfare system in the USA.",3,"192b9135",774,"Universal Basic Income is preferable to the entitlement system we have now.  Instead of having dozens of social welfare programs, we can simply have the UBI.  Also, if everyone is receiving UBI, we will no longer have the problem of people scamming the social welfare system in the USA.",""
"404",404,"870ed881","opposing party argument","in favor of","liberal",17,9,4,4,1,4,2,4,5,5,2,5,4,4,2,2,1,2,6,6,"Everyone will expect it, no matter what and will not pull their weight. What happens if the government runs out of this money? What happens if we go to war and due to the decreases, we now have a serious lack of man power and weapons? Yes, it could help the economy but people will loose a sense of responsibility. If we were to do something among those lines, I'd think that it would be better suited to have a program like that for medical and dental standards since that is a major problem. ",3,"ab621d9f",362,"Everyone will expect it, no matter what and will not pull their weight. What happens if the government runs out of this money? What happens if we go to war and due to the decreases, we now have a serious lack of man power and weapons? Yes, it could help the economy but people will loose a sense of responsibility. If we were to do something among those lines, I'd think that it would be better suited to have a program like that for medical and dental standards since that is a major problem. ",""
"405",405,"a9558e57","control","in favor of","",32,37,5,5,4,2,5,4,3,3,6,2,3,5,2,4,1,1,6,2,"That it is a human right to afford the cost of living in the society in which you are born",3,"763206ed",1,"That it is a human right to afford the cost of living in the society in which you are born",""
"406",406,"a9bdd5d2","control","against","",74,68,5,4,5,5,5,6,6,7,5,4,4,5,5,4,1,3,6,2,"The taxes required to pay for UBI would burden a system that is already over-burdened. It may give some people the incentive to not add to the workforce that would ultimately pay for the UBI.",3,"356b2d03",1,"The taxes required to pay for UBI would burden a system that is already over-burdened. It may give some people the incentive to not add to the workforce that would ultimately pay for the UBI.",""
"407",407,"ea013300","control","in favor of","",21,21,5,3,5,2,2,3,4,4,3,4,3,4,2,3,1,3,1,3,"People would not be homeless and go hungry. People would be motivated to work knowingly that their home is there and not worry about being evicted.",3,"9199af16",1,"People would not be homeless and go hungry. People would be motivated to work knowingly that their home is there and not worry about being evicted.",""
"408",408,"74b88f10","same party argument","against","liberal",87,82,5,6,5,6,6,6,6,6,7,3,4,6,4,4,2,3,6,1,"Giving people a universal basic income might dissuade said individual from trying to improve their lifestyle.  If a person doesn't have to work for food and shelter why would they want to look to improving them selves.  This could leave to a welfare state if not handled properly with effective policy.",3,"1681688e",526,"Giving people a Universal Basic Income might dissuade said individual from trying to improve their lifestyle.  If a person doesn't have to work for food and shelter why would they want to look to improving them selves.  This could leave to a welfare state if not handled properly with effective policy.",""
"409",409,"e286d612","same party argument","in favor of","conservative",12,26,3,5,5,3,7,6,7,7,1,6,4,5,5,5,1,3,6,6,"Food stamps and other government programs are abused. Doing away with those completely would provide a more balanced economy. ",3,"f026dd6",181,"Food stamps and other government programs are abused. Doing away with those completely would provide a more balanced economy. ",""
"410",410,"ac76a6d2","control","in favor of","",39,40,3,3,3,4,4,4,4,5,5,2,4,4,4,4,2,3,3,1,"It would help people whom are unable to rely on any income of their own. It would help even out the economy.",3,"bea96212",1,"It would help people whom are unable to rely on any income of their own. It would help even out the economy.",""
"411",411,"be2013bf","same party argument","in favor of","liberal",0,0,7,7,7,1,1,1,4,4,4,4,1,1,1,1,1,2,3,2,"We need to ensure that our citizens are able to take care of themselves. We can better help them if we give them something to cover their basic needs.",3,"f362d25f",630,"We need to ensure that our citizens are able to take care of themselves. We can better help them if we give them something to cover their basic needs.",""
"412",412,"712bca93","control","against","",82,82,6,6,6,5,6,5,5,5,6,2,3,3,2,3,2,4,6,2,"One argument is that it is essentially a government regulation that interferes with the neoliberal approach to free market capitalism. By guaranteeing a universal basic income, there is an argument that it will dissuade individuals from seeking employment on the open market and take away government funds that could be used for different purposes. ",3,"d0dc482",1,"One argument is that it is essentially a government regulation that interferes with the neoliberal approach to free market capitalism. By guaranteeing a Universal Basic Income, there is an argument that it will dissuade individuals from seeking employment on the open market and take away government funds that could be used for different purposes. ",""
"413",413,"9ddf88fe","opposing party argument","against","conservative",75,75,5,5,5,3,6,3,5,7,6,3,3,4,3,4,1,2,6,3,"It should be the right of the employer to decide how much to pay their workers.  If the UBI is too high, small business owners will be forced to go out of business.  Also, some jobs don't deserve higher wages.",3,"bda8bd14",187,"It should be the right of the employer to decide how much to pay their workers.  If the UBI is too high, small business owners will be forced to go out of business.  Also, some jobs don't deserve higher wages.",""
"414",414,"89ecc416","opposing party argument","against","conservative",54,54,4,5,5,2,5,2,2,2,6,2,4,5,4,5,1,1,3,2,"Conservatives would probably see a UBI as them paying for everyone. The government would probably take more money from conservatives out of taxes, because conservatives tend to have more than liberals. ",3,"d25cb5f4",841,"Conservatives would probably see a UBI as them paying for everyone. The government would probably take more money from conservatives out of taxes, because conservatives tend to have more than liberals. ",""
"415",415,"6ac27663","same party argument","against","liberal",77,82,2,3,3,4,3,4,4,4,6,2,3,3,2,3,2,1,6,2,"It disincentivises folks to get higher-paying jobs because they always have an income. If folks always have an income they might not work. ",3,"de5db60f",375,"It disincentivises folks to get higher-paying jobs because they always have an income. If folks always have an income they might not work. ",""
"416",416,"eef2ac8f","same party argument","in favor of","conservative",26,32,3,2,4,4,NA,4,6,5,2,6,5,6,7,5,1,2,6,5,"It allows everyone to a certain level of lifestyle",3,"6c143aa5",411,"It allows everyone to a certain level of lifestyle",""
"417",417,"2d6a92f3","same party argument","in favor of","conservative",0,0,1,1,1,1,7,7,4,7,1,6,7,1,1,1,2,4,2,6,"I have no doubt that a conservative will NOT agree with UBI. It is redistribution of income, pure and simple. Taxes are paid by taxpayers, while the benefit is distributed amongst taxpayers and non-taxpayers. Effectively, taxpayers are getting some of their taxes back, i.e. getting taxed at a lower rate than advertised, while the non-taxpayer receives a freebee.",3,"2da1e477",350,"I have no doubt that a conservative will NOT agree with UBI. It is redistribution of income, pure and simple. Taxes are paid by taxpayers, while the benefit is distributed amongst taxpayers and non-taxpayers. Effectively, taxpayers are getting some of their taxes back, i.e. getting taxed at a lower rate than advertised, while the non-taxpayer receives a freebee.","Y"
"418",418,"7ae538c9","control","against","",79,84,6,6,6,5,7,5,5,5,6,2,4,5,3,5,2,3,6,1,"A UBI may discourage eligible workers from seeking traditional employment.  This could be mitigated by utilizing further incentives to encourage workers to seek work. / ",3,"3b86dbc4",1,"A UBI may discourage eligible workers from seeking traditional employment.  This could be mitigated by utilizing further incentives to encourage workers to seek work. / ",""
"419",419,"87e9454c","control","in favor of","",10,10,5,7,4,2,5,3,4,6,5,3,3,4,3,4,1,1,6,3,"One argument might be that this basic level of income will ensure that all primary needs of citizens are met. On a humanitarian level, this could eliminate societal problems such as starvation and homelessness. It can also be argued that this might increase innovation as people are better able to think long-term and devote mental energy to taking new risks once basic needs have been met. ",3,"c5e9cd19",1,"One argument might be that this basic level of income will ensure that all primary needs of citizens are met. On a humanitarian level, this could eliminate societal problems such as starvation and homelessness. It can also be argued that this might increase innovation as people are better able to think long-term and devote mental energy to taking new risks once basic needs have been met. ",""
"420",420,"d3905370","same party argument","in favor of","liberal",30,58,2,2,2,4,3,4,4,5,4,5,4,5,3,4,2,2,6,3,"A UBI would help eliminate the income gap in this country,. The UBI will likely increase the income for most middle class families.  An improvement in the economy can be seen almost immediately, if this set wage were implemented.",3,"2ce8285b",152,"A UBI would help eliminate the income gap in this country,. The UBI will likely increase the income for most middle class families.  An improvement in the economy can be seen almost immediately, if this set wage were implemented.",""
"421",421,"8b92f999","opposing party argument","against","liberal",74,88,6,6,6,6,6,6,6,6,4,6,6,6,6,6,2,2,6,6,"Well the liberal would be in great place and have extra money to enjoy there lives and to have the basic right to a income that would really solve a lot of the issues are county faces on a daily basis ",2,"bf7c9f32",441,"Well the liberal would be in great place and have extra money to enjoy there lives and to have the basic right to a income that would really solve a lot of the issues are county faces on a daily basis ","Y"
"422",422,"7abd0e4a","opposing party argument","against","conservative",91,89,3,3,3,4,6,5,5,6,6,2,6,2,6,2,2,1,6,2,"that it would incentive people not to work as hard. If UBI provides them with enough to live on, some people would be satisfied not to look for better opportunities.",3,"df884b2f",247,"that it would incentive people not to work as hard. If UBI provides them with enough to live on, some people would be satisfied not to look for better opportunities.",""
"423",423,"3b70135f","opposing party argument","against","conservative",62,64,5,5,3,3,4,6,5,5,5,2,4,4,5,5,1,2,6,2,"They would argue that a universal basic income would cause people to not work. If they are paid enough to survive what would be their motivation to work? People would just live off of the government. ",3,"422a81f3",843,"They would argue that a Universal Basic Income would cause people to not work. If they are paid enough to survive what would be their motivation to work? People would just live off of the government. ",""
"424",424,"95e800ea","control","against","",100,100,1,1,1,7,7,7,7,7,7,1,7,7,7,7,1,2,6,3,"A universal basic income is a good thing because it will allow all to have the basics they need. People should be entitled to a humane life, and I believe providing a basic income where the most important necessities are covered can be the first step towards peace in many different ways.",3,"9332e054",1,"A Universal Basic Income is a good thing because it will allow all to have the basics they need. People should be entitled to a humane life, and I believe providing a basic income where the most important necessities are covered can be the first step towards peace in many different ways.","Y"
"425",425,"12765083","opposing party argument","against","conservative",80,80,6,6,6,2,6,7,7,7,5,1,4,4,4,4,2,3,6,1,"A basic income disincentivizes work. There will be a certain percentage of people who are content to exist on basic income without contributing to society meaningfully.",3,"43ff7cd3",19,"A basic income disincentivizes work. There will be a certain percentage of people who are content to exist on basic income without contributing to society meaningfully.",""
"426",426,"660661f8","same party argument","against","liberal",70,70,3,5,5,3,4,5,4,5,6,1,5,6,6,6,2,2,6,2,"it doesn't provide the incentive for people to work as much as the current system. it would give money to people who don't really need it and in return cut programs and benefits to individuals who struggle to survive and need the help. the poor and middle class would pay a higher percentage of their income to the government to set up a program like this compared to the upper class.",3,"c0d7180",198,"it doesn't provide the incentive for people to work as much as the current system. it would give money to people who don't really need it and in return cut programs and benefits to individuals who struggle to survive and need the help. the poor and middle class would pay a higher percentage of their income to the government to set up a program like this compared to the upper class.",""
"427",427,"9799fb2d","opposing party argument","in favor of","liberal",10,4,4,2,3,2,5,3,3,4,3,5,4,3,2,3,2,2,6,5,"Everyone is able to provide for themselves and or families.",3,"2a73d39",744,"Everyone is able to provide for themselves and or families.",""
"428",428,"e01f7650","opposing party argument","against","liberal",70,65,5,4,5,5,4,6,3,5,2,4,3,4,5,4,1,2,6,5,"I think many people wouldn't like the fact that our military spending would be decreased and the fact that it would remove the food stamp program and other welfare benefits.",3,"8686f2bd",886,"I think many people wouldn't like the fact that our military spending would be decreased and the fact that it would remove the food stamp program and other welfare benefits.",""
"429",429,"dba81d2c","control","in favor of","",13,16,3,3,3,2,3,5,5,6,6,2,3,3,2,3,1,3,6,1,"some pros are that everyone would receive an income. hopefully would cut down on child hunger. everyone should be able to afford to keep a roof over their heads.",3,"e93b8373",1,"some pros are that everyone would receive an income. hopefully would cut down on child hunger. everyone should be able to afford to keep a roof over their heads.",""
"430",430,"d51df170","control","against","",62,55,1,2,1,3,5,6,4,5,5,2,6,5,2,5,1,4,6,3,"Some may find it troublesome that citizens are paid for doing nothing but being citizens.  Additionally, the UBI does not take into account people who are ""cheating"" the system: people who are in 'cash only' businesses such as prostitution and drug dealing.  ",3,"58d736c9",1,"Some may find it troublesome that citizens are paid for doing nothing but being citizens.  Additionally, the UBI does not take into account people who are ""cheating"" the system: people who are in 'cash only' businesses such as prostitution and drug dealing.  ",""
"431",431,"66e1fc35","same party argument","against","liberal",75,75,5,5,3,4,5,5,5,5,4,2,3,3,3,3,2,3,6,2,"Adults should contribute to the society they live in, not just be able to benefit from the work of others.  If a UBI was instituted, it would lead to a unstable economic situation where the few would work to support the many.",3,"c5045221",89,"Adults should contribute to the society they live in, not just be able to benefit from the work of others.  If a UBI was instituted, it would lead to a unstable economic situation where the few would work to support the many.",""
"432",432,"af684151","same party argument","against","conservative",100,90,3,3,1,7,7,7,7,7,6,6,7,7,1,1,1,2,7,6,"A reason that some of us might go against the universal basic income is because we believe that we should get pay by our abilities. Some people might have better performance at work. If the income is on universal basic, there are people feel that they did not get what they deserve.",3,"5b7ccc89",419,"A reason that some of us might go against the Universal Basic Income is because we believe that we should get pay by our abilities. Some people might have better performance at work. If the income is on universal basic, there are people feel that they did not get what they deserve.",""
"433",433,"c879ef80","opposing party argument","in favor of","liberal",25,23,4,6,5,3,4,4,6,5,3,5,5,4,2,3,2,3,6,5,"A universal basic income promotes equality through the world.  It give everyone the ability to not be in a situation where they are starving.  It also reduces needs for aid.  ",3,"2ca15175",592,"A Universal Basic Income promotes equality through the world.  It give everyone the ability to not be in a situation where they are starving.  It also reduces needs for aid.  ",""
"434",434,"fc1474e4","same party argument","in favor of","liberal",18,4,2,2,2,2,2,2,2,2,7,5,4,4,6,7,2,2,6,2,"We have the resources available to make sure that every US citizen can have an income that can support their basic needs in life. Providing an income for people's basic needs could help reduce crime and vastly improve the health and well being of those worse off. ",3,"5b03a1ed",335,"We have the resources available to make sure that every US citizen can have an income that can support their basic needs in life. Providing an income for people's basic needs could help reduce crime and vastly improve the health and well being of those worse off. ",""
"435",435,"6b1d0721","same party argument","in favor of","conservative",6,19,4,3,4,1,5,4,5,5,1,6,4,4,2,3,1,3,6,5,"If a universal income was established, the need for welfare would be eliminated due to everyone receiving a similar liveable wage. As poverty decreased crime should also decrease ad there is a direct correlation between the two. ",3,"165420ac",43,"If a universal income was established, the need for welfare would be eliminated due to everyone receiving a similar liveable wage. As poverty decreased crime should also decrease ad there is a direct correlation between the two. ",""
"436",436,"58ca1482","control","in favor of","",2,2,6,6,6,3,4,6,6,6,2,6,2,2,2,2,2,2,6,6,"It would provide a baseline of income that no citizen would fall under. This would go a long way in eliminating extreme poverty.",3,"4df1d67c",1,"It would provide a baseline of income that no citizen would fall under. This would go a long way in eliminating extreme poverty.",""
"437",437,"38e6f6b","control","against","",90,90,4,2,2,4,2,6,5,6,2,5,2,4,2,3,2,2,6,5,"it would been seen as a very socialist program since everyone gets something and all are taxed to get something. it can also create a situation where people who don't want to work wont have to due to UBI there for promoting government dependence. ",3,"b2efdb97",1,"it would been seen as a very socialist program since everyone gets something and all are taxed to get something. it can also create a situation where people who don't want to work wont have to due to UBI there for promoting government dependence. ",""
"438",438,"2b0f6b76","control","against","",75,70,5,4,3,3,4,5,2,5,2,2,4,3,4,4,2,2,2,3,"UBI will lend itself to laziness in a greater portion of the population (i.e. Moochers).",2,"dff9e51b",1,"UBI will lend itself to laziness in a greater portion of the population (i.e. Moochers).",""
"439",439,"9a32f0f2","same party argument","in favor of","conservative",0,0,6,6,6,1,5,4,4,4,3,6,2,2,3,3,1,1,6,7,"Probably in an effort to help people out of the poverty cycle, and end homelessness and stuff like that in order for people to be more productive members of society",3,"55913a4e",657,"Probably in an effort to help people out of the poverty cycle, and end homelessness and stuff like that in order for people to be more productive members of society",""
"440",440,"a668e382","control","against","",80,80,6,6,6,4,5,5,6,5,6,2,2,5,6,4,2,2,3,2,"No one would want to work since they get a paid check. This would let people to claim that we would not develop and continue to progress. ",3,"b2d70c8d",1,"No one would want to work since they get a paid check. This would let people to claim that we would not develop and continue to progress. ",""
"441",441,"3c22c01d","control","in favor of","",30,30,3,3,3,2,3,5,4,5,4,5,2,2,2,2,1,1,6,5,"Homelessness, hunger, etc would be eradicated. Children would have better lives growing up. ",3,"a8b849eb",1,"Homelessness, hunger, etc would be eradicated. Children would have better lives growing up. ",""
"442",442,"f4a78f0","opposing party argument","in favor of","liberal",0,0,3,3,3,2,4,4,4,4,2,6,6,3,1,2,2,4,6,6,"They earn less than others.  Others have more things than they do.  Others have nicer things than they do.",1,"d35c00f6",849,"They earn less than others.  Others have more things than they do.  Others have nicer things than they do.",""
"443",443,"b5e7ab2","opposing party argument","against","conservative",98,100,7,7,7,6,7,4,2,3,6,2,1,1,4,4,1,2,6,2,"People need to work for their money and other people should not have to pay for it.",3,"4fb70606",811,"People need to work for their money and other people should not have to pay for it.",""
"444",444,"c9a69ec2","opposing party argument","against","liberal",75,75,5,5,4,6,4,3,4,4,2,5,4,4,3,4,2,2,2,5,"The argument would be that it would replace existing government programs such as food stamps.  This would run the risk of individuals spending the money irresponsibly and not having enough for true needs.",3,"14635ee2",796,"The argument would be that it would replace existing government programs such as food stamps.  This would run the risk of individuals spending the money irresponsibly and not having enough for true needs.",""
"445",445,"2257ff26","opposing party argument","in favor of","liberal",0,0,7,7,7,1,7,3,3,7,3,5,1,1,1,1,2,3,6,5,"The top 1% aren't paying their fair share. We have to take it away from them and give it to the poor because the 1% are greedy and evil.",3,"4ef0097a",305,"The top 1% aren't paying their fair share. We have to take it away from them and give it to the poor because the 1% are greedy and evil.",""
"446",446,"f4740c3b","control","against","",100,100,1,1,1,6,6,7,7,7,7,2,6,6,2,2,1,3,6,2,"The main argument I see is that some people may decide that the universal basic income is all they need, so they will choose not to work. The same argument is used today towards those who receive food stamps or some form of welfare and do not work.",3,"2d6930d",1,"The main argument I see is that some people may decide that the Universal Basic Income is all they need, so they will choose not to work. The same argument is used today towards those who receive food stamps or some form of welfare and do not work.",""
"447",447,"2ec41876","opposing party argument","in favor of","liberal",0,0,6,5,5,5,6,5,6,6,4,6,1,1,1,1,1,4,6,6,"Everyone deserves to be treated equally.  This especially extends to the ability to feed and house ourselves.  It is basically unfair that certain groups have more and certain groups have less.  This would put everyone on an even playing field.",3,"9ce7748b",125,"Everyone deserves to be treated equally.  This especially extends to the ability to feed and house ourselves.  It is basically unfair that certain groups have more and certain groups have less.  This would put everyone on an even playing field.",""
"448",448,"d545c7f3","control","against","",85,90,1,1,1,6,6,1,1,6,6,4,6,5,6,6,1,2,1,1,"I think one a major reason people are against safety net programs are unfair because they don't receive what they feel are benefits. If this income was offered to everyone, people may be more open to the idea of supporting everyone. This gives the potential to lift more people out of poverty while not offending others. ",3,"c4408ae",1,"I think one a major reason people are against safety net programs are unfair because they don't receive what they feel are benefits. If this income was offered to everyone, people may be more open to the idea of supporting everyone. This gives the potential to lift more people out of poverty while not offending others. ",""
"449",449,"49322b6a","same party argument","in favor of","conservative",0,0,6,7,6,5,6,5,3,5,4,6,2,4,2,2,2,2,6,5,"Universal Basic Income could mean that the welfare state would be significantly reduced.  Instead of having money go through bureaucracy, the payments would go directly to the individual.  This is government agencies and welfare programs can be cut or reduced in size.",3,"92d1093e",915,"Universal Basic Income could mean that the welfare state would be significantly reduced.  Instead of having money go through bureaucracy, the payments would go directly to the individual.  This is government agencies and welfare programs can be cut or reduced in size.",""
"450",450,"57af4fd4","opposing party argument","against","conservative",90,80,5,6,7,7,7,5,6,6,7,1,5,3,6,6,2,2,2,3,"That the government cannot be able to provide an UBI for its residents. The taxation required to do so would hurt too much of the more well-regarded residents and business to sustain UBI. Additionally, the automation requirement is considered a knee-jerk reaction to the overstatement of mass media exerting that today's jobs are in danger.",3,"78968904",134,"That the government cannot be able to provide an UBI for its residents. The taxation required to do so would hurt too much of the more well-regarded residents and business to sustain UBI. Additionally, the automation requirement is considered a knee-jerk reaction to the overstatement of mass media exerting that today's jobs are in danger.",""
"451",451,"72352d10","control","against","",100,58,5,5,3,4,5,5,2,3,7,3,4,3,3,3,2,2,6,2,"It makes certain jobs seem unfair. Imagine someone who answers phones as a receptionist making as much as a brain surgeon. It would be unfair.",3,"63cf6d2a",1,"It makes certain jobs seem unfair. Imagine someone who answers phones as a receptionist making as much as a brain surgeon. It would be unfair.",""
"452",452,"87b173cf","same party argument","against","liberal",100,100,2,2,2,5,6,5,5,4,5,3,4,5,3,3,1,2,6,1,"One argument a liberal against universal basic income might give is that it reduces or eliminates social welfare programs already in place. Funding for a universal basic income may reduce or eliminate funding for food stamps, welfare, and other systems. If the universal basic income isn't adequate enough, this may hurt people who strongly rely on those systems.",3,"35f9df5f",914,"One argument a liberal against Universal Basic Income might give is that it reduces or eliminates social welfare programs already in place. Funding for a Universal Basic Income may reduce or eliminate funding for food stamps, welfare, and other systems. If the Universal Basic Income isn't adequate enough, this may hurt people who strongly rely on those systems.",""
"453",453,"bcb675b5","control","against","",97,97,4,6,3,7,6,7,6,7,3,1,4,6,3,5,2,2,6,3,"Companies will want to move operations to another country because of higher taxes. Part of basic income is automation of the workforce, and the most obvious thing to do is tax automation. Companies will see a heavy hit to their profits if they have to start paying their robots.",3,"6e87a2fd",1,"Companies will want to move operations to another country because of higher taxes. Part of basic income is automation of the workforce, and the most obvious thing to do is tax automation. Companies will see a heavy hit to their profits if they have to start paying their robots.",""
"454",454,"fa718d61","opposing party argument","in favor of","conservative",33,33,3,3,3,4,4,6,6,5,5,1,4,4,4,4,1,5,6,3,"It would eliminate such as welfare.  Welfare is based on the number of children born.  UBI would only be payable to the adults therefore it would stop people from having multiple children just to increase payments.",3,"8ac04b38",85,"It would eliminate such as welfare.  Welfare is based on the number of children born.  UBI would only be payable to the adults therefore it would stop people from having multiple children just to increase payments.",""
"455",455,"d7845132","control","against","",63,60,5,5,5,3,5,4,3,5,5,3,5,6,5,5,2,2,6,2,"One argument against universal basic income is that it could decrease motivation for people to make meaningful contributions to society. When all of a person's basic needs are met, they may be less compelled to work at a job of any kind.",3,"a9c7918d",1,"One argument against Universal Basic Income is that it could decrease motivation for people to make meaningful contributions to society. When all of a person's basic needs are met, they may be less compelled to work at a job of any kind.",""
"456",456,"31619047","same party argument","against","liberal",76,65,6,4,7,3,2,3,3,3,2,1,4,5,5,4,2,2,3,3,"If we implement this program then that means other programs already set in will suffer. Programs for women, children, and those with disabilities might be ignored. ",3,"5435695a",286,"If we implement this program then that means other programs already set in will suffer. Programs for women, children, and those with disabilities might be ignored. ",""
"457",457,"6cf07f2d","opposing party argument","against","conservative",60,59,4,3,3,3,4,4,4,4,5,4,5,5,5,5,1,3,6,2,"People should have work and not rely on government to help.  We have enough of our income taken out of checks.  ",3,"594bb2c7",232,"People should have work and not rely on government to help.  We have enough of our income taken out of checks.  ",""
"458",458,"f514d637","control","against","",97,100,4,4,4,2,2,1,2,2,2,3,1,2,1,1,2,2,2,5,"People shouldn't get something for not doing anything.  They should have to earn their money.",3,"2f75c651",1,"People shouldn't get something for not doing anything.  They should have to earn their money.",""
"459",459,"fac1e067","same party argument","against","liberal",87,15,2,2,3,6,5,6,6,6,2,5,1,2,2,3,1,1,2,3,"The fact that it doesn't provide room for economic growth. / The complete removal of the class system (lower class, middle class, upper class).",3,"bc4b547e",561,"The fact that it doesn't provide room for economic growth. / The complete removal of the class system (lower class, middle class, upper class).",""
"460",460,"38896911","same party argument","in favor of","conservative",30,30,2,2,3,3,5,5,4,4,5,6,2,3,3,4,2,2,6,5,"improving the poor's welfare. With food stamps and subsidies, resources must be used exactly how the government mandates. With a universal basic income, citizens can use the income at their discretion. ",3,"e4a8c7d6",393,"improving the poor's welfare. With food stamps and subsidies, resources must be used exactly how the government mandates. With a Universal Basic Income, citizens can use the income at their discretion. ",""
"461",461,"9d6fe5f8","same party argument","in favor of","liberal",30,31,5,3,6,2,2,7,7,7,2,4,5,4,5,5,1,3,6,3,"All people deserve to live without fear of hunger or homelessness. The security this money would provide is a comfort that Americans deserve. This is a good idea because everyone risks experiencing unexpected setbacks that can be devastating, requiring a person to lose their home and not having enough to eat. This subsidy would ensure the security of every American. ",3,"c90551da",363,"All people deserve to live without fear of hunger or homelessness. The security this money would provide is a comfort that Americans deserve. This is a good idea because everyone risks experiencing unexpected setbacks that can be devastating, requiring a person to lose their home and not having enough to eat. This subsidy would ensure the security of every American. ",""
"462",462,"e692d450","same party argument","against","liberal",94,14,5,5,6,5,2,6,6,6,7,3,2,2,6,6,1,3,6,2,"UBI is not a clear indication of a persons ability to perform a specific job and therefore; not a fair assessment for a higher working class citizen",3,"1ef9b11",762,"UBI is not a clear indication of a persons ability to perform a specific job and therefore; not a fair assessment for a higher working class citizen",""
"463",463,"e26e8d97","opposing party argument","against","conservative",70,75,5,5,6,5,6,4,4,5,6,3,2,2,3,2,1,3,6,2,"I shouldn't have to work to support your laziness.  If you want something, you should work for it.  There is no free lunch.",3,"237a06fa",591,"I shouldn't have to work to support your laziness.  If you want something, you should work for it.  There is no free lunch.",""
"464",464,"dac8c720","opposing party argument","against","conservative",67,71,3,5,5,5,5,5,6,7,6,2,2,2,3,2,1,2,6,3,"People should work to support themselves. I don't want to pay more taxes to give money to someone who is too lazy to take care of their own family. ",3,"6253e924",78,"People should work to support themselves. I don't want to pay more taxes to give money to someone who is too lazy to take care of their own family. ",""
"465",465,"e197f7d9","control","against","",70,67,3,3,6,2,2,6,3,5,6,2,5,5,3,3,1,1,6,2,"Humans are very selfish creatures. ",3,"df5d030d",1,"Humans are very selfish creatures. ",""
"466",466,"fd7b68a0","control","in favor of","",0,0,6,6,7,3,2,5,5,5,3,5,3,4,2,2,1,5,6,6,"Everyone will have enough money to cover their basic needs. There would not be any excuses for being homeless.",3,"6e8961ad",1,"Everyone will have enough money to cover their basic needs. There would not be any excuses for being homeless.",""
"467",467,"af801ad4","control","against","",80,80,2,3,2,3,4,4,5,4,5,2,5,5,5,5,1,1,1,2,"some will benefit even if they do not work. those that do work will be unmotivated because the income will be the same as everyone elses.",3,"4c558568",1,"some will benefit even if they do not work. those that do work will be unmotivated because the income will be the same as everyone elses.",""
"468",468,"a1d26b45","opposing party argument","against","conservative",97,97,6,6,6,6,4,5,6,6,2,5,5,6,3,2,2,3,1,3,"everyone should pull themselves up by their own boot straps. / no one should be given handouts.",3,"2e962f3b",253,"everyone should pull themselves up by their own boot straps. / no one should be given handouts.",""
"469",469,"366b7586","same party argument","against","liberal",83,62,4,5,4,5,6,7,6,7,6,2,4,6,6,7,2,4,6,2,"The argument that a liberal against universal basic income would be that it prevents a person from working their way up the ladder and making an opportunity for themselves in the workplace.",3,"dd5c6909",611,"The argument that a liberal against Universal Basic Income would be that it prevents a person from working their way up the ladder and making an opportunity for themselves in the workplace.",""
