ID,study.F,cond,cond.F,att1_1,att1_2,att1_3,base_mor,base_prac,base_cons,base_know,base_emo,att2_1,att2_2,att2_3,resp1,resp2,resp3,resp4,resp5,resp6,essMoral,essPrac,poli_soc,poli_econ,age,gender,d_gen_4_TEXT,language,d_lang_10_TEXT,Th1VA,Th2VA,Th3VA,Th4VA,Th5VA,Th6VA,Th1VB,Th2VB,Th3VB,Th4VB,Th5VB,Th6VB,duplicatedIP
R_dhGgJV76PQeokDL,Study 1A,-1,Moral Message,3,3,3,3,3,2,2,2,-1,-2,-2,I ddidn't realize the costs associated with recycling.,NA,NA,NA,NA,NA,3,6,4,4,36,Male,NA,English,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,FALSE
R_ai9Z6hexsTIKG2Z,Study 1A,-1,Moral Message,4,4,4,5,5,1,5,5,-2,-2,-2,I didn't know this about recycling.,I think I should look up more about this to make sure these facts are true.,I think dogs would probably just get run over by a different truck on the road if that is the case.,A pet shouldn't be on the road.,I think this is quite interesting to read about.,It is nice to see different sides of the same issue.,7,7,2,4,29,Female,NA,English,NA,3,3,3,4,4,3,3,3,2,3,3,3,FALSE
R_2RTYyigNd7ZaWMO,Study 1A,-1,Moral Message,4,4,4,5,4,3,4,3,1,1,1,Who is this guy?,You can find articles backing up any side of an issue.,I don't believe this,NA,NA,NA,2,3,1,2,27,Male,NA,English,NA,4,3,2,NA,NA,NA,2,3,2,NA,NA,NA,FALSE
R_3RygYwUFu5c8ivB,Study 1A,1,Practical Message,4,4,4,4,4,3,4,2,2,2,2,"I guess what he is saying makes sense, if it is true.",I'd like to see where he got his statistics to fact check this article.,But what are the longer term effects of putting everything in the landfill?,And what is the overall effect if all goods have to be made with new materials - aren't there finite resources for that and doesn't it affect the environment also?,NA,NA,1,6,2,2,32,Female,NA,English,NA,1,3,3,3,NA,NA,1,2,3,2,NA,NA,FALSE
R_1eF7g0tTcu5tjBH,Study 1A,1,Practical Message,4,4,4,2,3,3,4,3,4,4,4,"I believe the person makes some great arguments against recycling. I've actually heard a lot of similar points as I read in the article. However, I feel like in many ways he's saying that the process of recycling needs some serious changes.",NA,NA,NA,NA,NA,1,7,1,2,30,Male,NA,English,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,FALSE
R_120cLlY6PtzFeAG,Study 1A,1,Practical Message,4,4,4,3,4,1,4,1,3,4,4,"There are pros and cons to everything, recycling is no different, I guess",NA,NA,NA,NA,NA,1,7,3,3,30,Female,NA,English,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,FALSE
R_22l8827q3oZs8l2,Study 1A,-1,Moral Message,4,4,4,4,5,1,3,2,3,4,3,I thought that the fact that trucks have doubled because of recycling purposes was exaggerated. I find it hard to believe that in LA trucks incremented from 400000 to 800000.,I thought that the number of house pets killed by the trucks was also not very believable.,"I thought that it's probably true that the wastes generated by the recycling plants are harmful to the environment, but I would need to see a study that shows the numbers of the pollution created by the recycling process vs the disposal of the trash.",NA,NA,NA,4,3,4,4,52,Male,NA,English,NA,3,2,3,NA,NA,NA,2,2,3,NA,NA,NA,FALSE
R_2aEsjl2fpCfXPmY,Study 1A,-1,Moral Message,3,3,3,4,3,2,3,2,3,3,3,It save the planet,NA,NA,NA,NA,NA,5,5,2,2,24,Male,NA,English,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,FALSE
R_a3i5xkrGbxQfsD7,Study 1A,1,Practical Message,4,4,4,5,5,1,5,1,4,4,4,I don't trust this person,Recycling is obviously beneficial,sounds like a republican who denies climate change,NA,NA,NA,1,7,1,4,25,Male,NA,English,NA,2,2,4,NA,NA,NA,2,2,2,NA,NA,NA,FALSE
R_1MRJl4bWYdwKTkH,Study 1A,1,Practical Message,4,3,4,3,5,2,3,4,3,2,2,"Although recycling is expensive and oftentimes unfeasible, if it is already implemented, I like to take advantage of it.",The size of landfills most likely increases congestion in an urban area more than an increased fleet of trash trucks.,I think recycling is more about increasing public morale than actually bettering the environment.,"As a person who believes in the return of the earth to a paradisiacal state at the second coming of Jesus Christ, I think that although efforts to preserve our environment are worthy and commendable, the situation is not nearly as bleak as it appears to some people.  The earth is there for our use and sensible management, but we don't need to worry about making it last for untold generations.",NA,NA,2,7,5,5,36,Male,NA,English,NA,2,3,3,3,NA,NA,2,2,1,2,NA,NA,FALSE
R_6sC4oZuxjhM6gJX,Study 1A,1,Practical Message,4,4,4,3,4,2,3,2,0,0,0,We need to find better ways to recycle.,Recycling is still a must since we cannot simply just continue to fill up our landfills.,Research and development need to be done to improve the current recycling system.,Recycling plants should not be near housing communities.,NA,NA,4,7,4,4,52,Female,NA,English,NA,3,2,3,3,NA,NA,1,2,1,1,NA,NA,FALSE
R_2TEJJN61Mb8eXP7,Study 1A,1,Practical Message,3,1,1,2,3,1,3,1,0,1,1,"Even if the cost of recycling is more expensive, it is still worth do it.",NA,NA,NA,NA,NA,1,6,3,3,23,Male,NA,English,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,FALSE
R_3JxdSt9hwV98aW4,Study 1A,-1,Moral Message,4,4,4,4,4,3,3,2,3,3,2,I've never thought about the pollution recycling causes,recycling still does more good than harm,can't they reduce the pollution created in the recycling process?,18% more animals killed per month - do we know for sure those animals were run over by recycling trucks?,Getting rid of recycling programs would start a host of new problems,NA,7,1,2,4,46,Male,NA,English,NA,3,2,3,3,2,NA,3,2,3,3,2,NA,FALSE
R_2WJ2NK8nx7xWcm2,Study 1A,-1,Moral Message,4,0,4,3,3,3,5,3,0,0,0,The process of recycling unethically harms our vulnerable environment .,NA,NA,NA,NA,NA,7,7,3,3,49,Female,NA,English,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,TRUE
R_2SuJINxAJSZhFYC,Study 1A,1,Practical Message,4,4,4,3,4,1,2,1,2,2,2,Surprise,Disappointment,Concern,Curious,Unsure,Disavowed,1,7,3,3,42,Male,NA,English,NA,4,4,4,4,4,4,3,3,3,3,4,4,FALSE
R_NXufUif5M8RuInL,Study 1A,-1,Moral Message,4,4,4,4,4,1,4,2,3,3,3,I bet this story is made up,"If this story is real, these are things that can easily be fixed",I think the researchers are trying to manipulate me,NA,NA,NA,4,3,1,2,42,Male,NA,English,NA,4,3,2,NA,NA,NA,2,2,4,NA,NA,NA,FALSE
R_vSH97ONKQPAQN5n,Study 1A,-1,Moral Message,2,3,3,2,2,2,3,3,2,3,3,I believe that paper recycling is a good thing for the environment,we should look further into recyling efforts,NA,NA,NA,NA,3,4,2,2,51,Female,NA,English,NA,2,3,NA,NA,NA,NA,2,3,NA,NA,NA,NA,FALSE
R_BrhV2VMda69u3GV,Study 1A,1,Practical Message,4,4,4,5,5,1,4,2,4,4,4,"I don't care about costs, the environment needs to be protected, and we need to do our part.","I'm sure a system could be created to eliminate the need for that many more trucks, and I'm sure it could be streamlined so it wouldn't have such an effect on traffic.",At the end of the day we only have one planet...I'd rather inconvenience some people then destroy our only home.,NA,NA,NA,1,5,5,4,32,Male,NA,English,NA,2,3,2,NA,NA,NA,2,3,2,NA,NA,NA,FALSE
R_3Jlp6EH5tyXu8VK,Study 1A,-1,Moral Message,4,4,4,5,5,2,5,5,0,0,0,The point about the polluting trucks is a really good one.  I can see where having all these extra trucks to pickup recycles is polluting the environment and may offset the benefits of recycling.,I'm not sure I buy the whole pets and animals being run over by the recycling trucks.  Recycling trucks are moving very slow from house to house most of the time so I highly doubt these are the trucks running over animals for the most part.,NA,NA,NA,NA,7,7,4,4,32,Male,NA,English,NA,1,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,FALSE
R_2y9JIJZipQWUMzT,Study 1A,1,Practical Message,3,3,3,3,4,4,4,2,1,1,2,I am surprised by the conclusion that recycling costs more than it's worth.,I live in Los Angeles and it's great that we have curbside recycling - without that I doubt many people would many any effort to recycle at all.,How are we supposed to protect the environment if we don't recycle?,The author provides a lot of criticisms but not very many suggestions for solutions or improvements.,NA,NA,3,6,2,2,38,Female,NA,English,NA,3,3,2,3,NA,NA,3,2,2,3,NA,NA,FALSE
R_u2Fw8ICA9vljf45,Study 1A,-1,Moral Message,3,4,4,5,4,5,4,4,2,1,1,The dr. brought up a good point.,The amount of recycling increases the amount of trucks,More trucks result in higher expenses,It is time consuming and costly to have recycling,Animals are at significant risk,There should be alternative measures that are looked into to solve some of these issues.,5,7,5,5,22,Male,NA,English,NA,1,3,3,1,3,3,1,1,1,1,3,1,FALSE
R_3oOcerjPkaeBq64,Study 1A,-1,Moral Message,4,4,4,4,3,4,4,2,4,4,4,biggest problem with it is what is the impact of all the stuff that is recycled going into land fills not to mention the impact of producing all new products because the stuff that could have been recycled is taken out of circulation the argument to me is to one sided,NA,NA,NA,NA,NA,1,3,2,2,40,Male,NA,English,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,FALSE
R_24H0iaZ3unXZXWN,Study 1A,-1,Moral Message,4,4,4,4,4,3,4,4,3,3,3,"Based on the professor's research, I am kind of thinking about our environment and pollution condition of the surrounding; especially, environment for plants.",NA,NA,NA,NA,NA,6,6,3,3,40,Prefer Not to Say,NA,English,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,FALSE
R_2wAlFPVjpnKLmHw,Study 1A,1,Practical Message,4,3,4,4,3,1,3,2,-1,-2,-1,I feel as though I've been deceived my whole life.,I feel as though if we are to recycle we should find an efficient way to do so.,I felt as though recycling is really hurting and not helping.,"I thought that maybe some of the ""recycled"" goods would biodegrade at landfills over time.",NA,NA,5,6,3,3,30,Male,NA,English,NA,4,3,1,3,NA,NA,3,1,1,3,NA,NA,FALSE
R_21pqzCCHrhnF5qM,Study 1A,-1,Moral Message,3,2,3,2,4,3,3,2,2,1,2,The argument about having to double the size of the truck fleet is a strong one. In the essay this was his strongest point.,The pet argument was weak. Just because there are more trucks on the road doesn't necessarily mean that more pets will be killed.,NA,NA,NA,NA,4,5,3,4,44,Male,NA,English,NA,3,2,NA,NA,NA,NA,3,1,NA,NA,NA,NA,FALSE
R_TkfngBcKX0gan29,Study 1A,1,Practical Message,3,3,3,3,4,4,3,2,-1,0,-1,I am disappointed to hear about the extra cost.,I did have a feeling that it was a lot of extra work.,I wish people didn't use so much paper products.,I'm surprised that it takes twice as many trucks.  I never thought of it that way.,I'm not sure what else we could do.,There has to be a way to recycle paper efficiently and without chemicals.,6,6,1,3,49,Female,NA,English,NA,3,3,4,3,3,3,1,1,3,1,3,2,FALSE
R_3m2CNlP1aorB9aX,Study 1A,-1,Moral Message,4,4,4,4,4,2,4,2,3,2,2,I didn't realize recycling could cause harm to the environment,"Not every city or town offers recycling, so they wouldn't be sending out additional trucks, people would be dropping off their recycling.",The reason more pets are being killed by cars might not be directly related to the recycling trucks.,NA,NA,NA,7,5,5,5,36,Female,NA,English,NA,3,3,3,NA,NA,NA,1,3,3,NA,NA,NA,FALSE
R_3CVCwdENqL5MxSd,Study 1A,1,Practical Message,4,4,4,5,5,1,4,4,4,4,4,I think the person that wrote the article is confused.,Landfills are not good for the environment either.,I wonder how much the anti recycling lobby is paying this person,I don't know where this person got the data from.,This information does not seem reliable and is only being used to benefit this persons argument.,I am not sure I trust this person.,4,7,3,3,41,Male,NA,English,NA,2,3,3,3,2,2,2,2,2,2,2,2,FALSE
R_1jdO0L0WS78gcD1,Study 1A,1,Practical Message,4,4,4,4,3,2,2,4,3,3,3,had never thought of this before,he may have a valid point,recycling might not be as good as I thought,recycling might just be more of a fad,NA,NA,2,7,4,4,56,Male,NA,English,NA,3,1,1,3,NA,NA,3,1,1,1,NA,NA,FALSE
R_2ePXITTueKQFF68,Study 1A,-1,Moral Message,4,4,4,4,3,1,2,4,1,2,0,i generally am favorable towards recycling,but the article gave me a lot to think about,i would also like to hear any arguments against this opinion if there are any,i'll probably still recycle,NA,NA,7,4,3,5,23,Male,NA,English,NA,2,3,3,2,NA,NA,2,3,3,2,NA,NA,FALSE
R_2bPeA2MTDxEIxnT,Study 1A,-1,Moral Message,4,4,4,5,5,1,5,4,3,3,3,I like animals,Nothing is completely free of harm,We have to weight what causes more damage,I will continue to recycle,The methods of transportation should be reviewed,Someone else is working on the transportation issue,7,4,3,3,33,Male,NA,English,NA,4,3,3,2,3,3,3,3,3,2,3,4,FALSE
R_3oI7vtpuDc1IsZl,Study 1A,-1,Moral Message,2,3,3,4,3,4,4,3,2,3,4,The cutting of trees to manufacture paper is not good for nature resources,An estimated is over higher and if is possible in america,NA,NA,NA,NA,5,5,1,3,26,Male,NA,English,NA,4,4,NA,NA,NA,NA,2,3,NA,NA,NA,NA,FALSE
R_2WHmEaLF8BFMaVH,Study 1A,1,Practical Message,2,1,2,2,4,3,3,2,-1,-1,-1,I generally agreed with the arguments.,I have read similar arguments before.,Recycling makes people feel good but does not work in the real world.,NA,NA,NA,2,7,4,5,48,Male,NA,English,NA,1,3,1,NA,NA,NA,1,3,1,NA,NA,NA,FALSE
R_1LhxVnk3EpMgb6d,Study 1A,-1,Moral Message,4,3,4,3,3,2,4,2,2,2,2,I've never heard some of these things about recycling.,I wonder how true some of these statements are.,I still think recycling has more pros than cons.,I still think overall it helps the environment more to recycle than it does not to.,NA,NA,6,2,1,2,31,Male,NA,English,NA,3,3,2,2,NA,NA,3,2,2,2,NA,NA,TRUE
R_71lgVhNiaslmDS1,Study 1A,-1,Moral Message,4,4,4,3,4,1,4,3,0,0,0,Is this for real,I'd like more evidence on this,What about the problem of more trash buildup,I don't like the idea of harming pets,If recycling is actually harming pets and animals then I am against it,Isn't having more trash and pollution also harming wildlife,7,7,1,1,35,Female,NA,English,NA,4,3,3,3,1,4,3,3,2,3,1,2,FALSE
R_2wEpvhM9jJc4GhA,Study 1A,-1,Moral Message,3,3,3,4,4,1,2,5,0,0,0,These are things that I did not know.,He makes a good argument and it makes a lot of sense.,NA,NA,NA,NA,6,6,1,1,28,Male,NA,English,NA,4,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,FALSE
R_239J4BMp5QKTEi0,Study 1A,1,Practical Message,4,4,4,5,4,3,5,3,4,4,4,the positives outweigh the negatives,we need to protect the planet and its animals,recycling helps more that it does harm,NA,NA,NA,1,7,1,1,30,Female,NA,English,NA,2,3,2,NA,NA,NA,2,2,2,NA,NA,NA,FALSE
R_1NteQZ50CUqsbk7,Study 1A,-1,Moral Message,4,4,4,4,4,2,4,4,0,0,0,I never really considered the pollution caused by trucks carrying recycled goods.,I feel it is our job to find more efficient ways to protect our local eco system.,NA,NA,NA,NA,7,7,2,4,37,Female,NA,English,NA,3,3,NA,NA,NA,NA,3,2,NA,NA,NA,NA,FALSE
R_3Gs1hcJCqwhf2cq,Study 1A,-1,Moral Message,1,1,1,3,3,3,3,3,1,1,1,it's a lot of work,it's dirty,it's smelly,it takes up counter space,it's pretentious,it's not worth it,1,1,1,1,32,Female,NA,English,NA,3,4,4,4,2,4,4,3,3,3,4,1,FALSE
R_eIPv5xoVGis0QoN,Study 1A,1,Practical Message,4,4,4,5,5,1,5,5,3,3,3,I did not know recycling came with those issues.,"I wonder if all recycling programs have these issues, and if it is not just inefficient plants.",I wonder if the process can be made more efficient.,I wonder what other programs the author is referring to that resources can be poured into.,NA,NA,7,7,1,1,53,Female,NA,English,NA,3,3,3,3,3,NA,3,3,3,3,NA,NA,FALSE
R_2SAlQBEOAE874AP,Study 1A,-1,Moral Message,1,2,2,4,3,2,3,2,2,2,2,"This article does nothing to address the negative effects of not recycling, e.g., the environmental impact of wasting resources and piling more stuff in our landfills.",Maybe household pet owners should keep their pets in their households.,NA,NA,NA,NA,7,4,1,1,34,Male,NA,English,NA,3,4,NA,NA,NA,NA,2,3,NA,NA,NA,NA,FALSE
R_2736gN2mDNsxTf2,Study 1A,-1,Moral Message,3,4,3,3,4,1,4,1,0,0,0,I have heard that it takes more resources to recycle then to make new.,The number of trucks is something I have never thought about.,The damages to wildlife is incredibly sad.,"500,000 pets are killed each year due to trucks? that can' be true..can it?",I am on the fence and would like to hear the other sides respose to this.,I think calling it immoral may be a bit much.,7,3,1,1,30,Male,NA,English,NA,3,3,3,3,3,2,1,3,3,3,3,3,FALSE
R_2ZTZGIv7UBchyvp,Study 1A,-1,Moral Message,4,4,4,5,5,3,3,1,4,4,4,I thought it was completely fabricated,The reasoning was ridiculous,This can't be real,These are very dumb counter arguments,NA,NA,7,1,2,4,40,Male,NA,English,NA,2,2,4,2,NA,NA,2,2,2,2,NA,NA,FALSE
R_2tnSlBcKvZTtyI0,Study 1A,-1,Moral Message,4,4,4,3,4,2,4,1,3,3,3,"it may cause air pollution, but it saves us from using new materials to make things",PETA isn't a credible source,NA,NA,NA,NA,6,2,2,5,23,Female,NA,English,NA,2,3,NA,NA,NA,NA,2,2,NA,NA,NA,NA,FALSE
R_3fklIoJSerLGEwY,Study 1A,-1,Moral Message,4,4,4,3,3,3,3,3,4,4,4,It would produce just as much emissions or more to make factories to make goods.,Recycling plants create jobs.,I thought the person writing the argument just wanted to be 'right.',NA,NA,NA,5,5,3,3,24,Male,NA,English,NA,3,3,3,NA,NA,NA,2,2,3,NA,NA,NA,FALSE
R_1q7Y6pJZ7tNojOB,Study 1A,1,Practical Message,4,4,4,5,5,1,5,4,3,3,3,I never realize that recycling is expensive,I didn't realize that it takes more resources than regular trash programs,"It unfortunate that recycling takes up a lot of funds and resources, and it also causes nearby residents to not want to live around because of the flumes that are released and the noises.",NA,NA,NA,5,6,1,1,24,Male,NA,English,NA,3,3,3,NA,NA,NA,3,3,1,NA,NA,NA,FALSE
R_3n9msMpEW6Sz57P,Study 1A,-1,Moral Message,4,4,4,4,5,2,3,3,3,3,3,"The essay does not mention what happens when we don't recycle, we would put that much more trash in dumps.","More of these products in the dumps will cause a lot of harm, if you are going to try and persuade you need to mention the other side or you don't sound credible.",the argument of more pets being run over is a pretty ridiculous one and he should probably leave it out because it diminishes his other points.,"Also, saying the amount of extra trucks being on the road isn't much either, that compared to all the other cars on the road doesn't mean much.",a lot of the things he has problems with it seems could be solved by new technology if their was incentive to develop such things.,Why could you not develop a truck with two separate compartments if in fact it does take twice as many trucks to haul the same amount of garbage.  I am not sure I buy this because to me having two different trucks would most likely mean that the trucks would have to make less trips than they would if one single truck had to haul all the garbage.  I would be willing to bet the total trips to the locations and then to the dumps would work out to be close to the same.  It's not like the trucks are not getting full loads.,5,2,4,4,41,Male,NA,English,NA,3,3,3,3,3,3,2,3,2,2,2,2,FALSE
R_21BtBx5OwSzQNZz,Study 1A,1,Practical Message,4,4,4,5,5,1,4,1,4,4,4,Plastic does not biodegrade ever. Its important to recycle plastic.,The garbage contributes to harming ecosystems when its dumped in the ocean. Its less detrimental when recycled.,NA,NA,NA,NA,1,7,3,3,27,Male,NA,English,NA,2,3,NA,NA,NA,NA,2,2,NA,NA,NA,NA,FALSE
R_21tYbXnyTndoj52,Study 1A,-1,Moral Message,4,4,4,4,3,2,3,3,-1,-1,-1,It's ridiculous to blame recycling for the death of household pets.  People should watch their pets better.,I'd like to know the pros of recycling paper so I could weigh the pros and cons of both sides.,We need a better way to recycle paper,NA,NA,NA,5,4,2,2,27,Female,NA,English,NA,3,3,3,NA,NA,NA,2,3,3,NA,NA,NA,FALSE
R_3ElnMtjEJki59Tz,Study 1A,-1,Moral Message,4,4,4,5,5,2,5,3,4,4,4,"Recycling is likely still beneficial in some way, shape or form.",NA,NA,NA,NA,NA,3,2,1,1,18,Male,NA,English,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,FALSE
R_3Mol1Piv7pWcYBC,Study 1A,1,Practical Message,4,4,4,1,1,1,3,1,-2,-2,-2,I thought it made a valid argument and I could really see what the author was talking about,NA,NA,NA,NA,NA,7,7,5,5,39,Female,NA,English,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,FALSE
R_vTVCbmPATpkQ38l,Study 1A,1,Practical Message,4,4,4,5,1,1,5,4,3,3,3,"He does make a good point, the cost of using these programs may out weight the benefit.","I think he is being pessimistic, and should try to also focus on the positives. It may not be good to recycle, but we must look at the positives and negatives, and remain free of bias.","Recycling still does good, as we have limited amount of resources to draw from.",NA,NA,NA,1,7,4,4,33,Male,NA,English,NA,1,3,2,NA,NA,NA,1,2,2,NA,NA,NA,FALSE
R_1LZ6n3dZTIhsD41,Study 1A,1,Practical Message,2,2,2,3,3,1,5,2,2,2,2,"He makes good points on his article, but it only applies to paper recycling.",I agree with him on that topic.,"Other recyclable items, such as metal, glass, etc., are better to recycle than paper.",There are pros and cons with recycling.,"You have to balance it all out.  Whatever is better to recycle, recycle.  What is not, send to landfill.",NA,1,7,4,5,37,Male,NA,English,NA,3,1,3,3,3,NA,1,1,3,3,3,NA,FALSE
R_1ONLPzEKf9ckpCB,Study 1A,1,Practical Message,3,3,3,4,4,3,3,3,1,1,1,"I've never thought about the cost of recycling, this is a good point","However, it is necessary to recycle because we need to value all resources.",NA,NA,NA,NA,4,6,3,3,27,Female,NA,English,NA,1,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,FALSE
R_3Jkp6ZQEoka9BEv,Study 1A,-1,Moral Message,4,4,4,4,5,1,5,1,4,4,4,"These are good arguments, but they only point to that our current method of recycling is flawed, not that it is immoral or needs to be gotten rid of completely","we need to find a way to resolve these problems, and recycle more effectively",NA,NA,NA,NA,5,3,5,4,27,Female,NA,English,NA,3,2,NA,NA,NA,NA,2,3,NA,NA,NA,NA,FALSE
R_3jebQdbAyfRw0TO,Study 1A,-1,Moral Message,4,4,4,5,5,1,4,3,4,4,4,I think that guy is full of it.,It read like someone who was assigned to the wrong side of a debate.,I don't think that guy can actually be serious.,It's obvious the benefits of recycling outweigh the negatives.,NA,NA,4,4,1,1,33,Male,NA,English,NA,2,3,3,2,NA,NA,2,3,2,2,NA,NA,FALSE
R_RreGy6CSfsjfQ2d,Study 1A,1,Practical Message,-1,-2,1,4,4,2,2,3,-1,1,1,none,NA,NA,NA,NA,NA,4,5,5,5,23,Male,NA,English,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,FALSE
R_29ukgwMtlHxlVsp,Study 1A,-1,Moral Message,3,3,3,3,4,2,4,2,3,3,3,I don't think the trucks harm the environment as much as not recycling would.,Animals are not in more of harm's way because of extra trucks. This seems like a nonsensical argument.,The guy who wrote this really likes his opinion and that's the only one he will consider.,NA,NA,NA,3,5,1,1,30,Female,NA,English,NA,2,2,3,NA,NA,NA,2,2,2,NA,NA,NA,FALSE
R_72smO6hrpEnPbeF,Study 1A,1,Practical Message,4,3,3,4,5,1,5,2,-1,-2,-3,I never considered the ramifications of such a process for recycling.,I guess it isn't as great as I thought.,I still feel that recycling is better then nothing.,NA,NA,NA,3,7,2,4,27,Male,NA,English,NA,3,1,2,NA,NA,NA,3,1,2,NA,NA,NA,FALSE
R_3r1dZgd81ZKBqxO,Study 1A,-1,Moral Message,3,3,3,2,3,2,3,2,0,0,0,I didn't know recycling could be bad,NA,NA,NA,NA,NA,5,4,4,5,74,Female,NA,English,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,FALSE
R_3GfwFropm0ROXiG,Study 1A,-1,Moral Message,3,2,3,3,4,2,4,1,3,1,3,It was very poorly argued,It was poorly written as well,It talked about the number of pets dying from accidents without mentioning which accidents were due to recycling trucks and which due to regular cars,The author seemed extremely biased,NA,NA,6,3,1,3,52,Female,NA,English,NA,2,3,3,2,NA,NA,2,3,3,2,NA,NA,FALSE
R_Om5pxrl4Mz3ZdSx,Study 1A,-1,Moral Message,4,4,4,4,4,3,3,1,4,4,4,I don't know whether what he said was accurate,I need more information to understand the issue,NA,NA,NA,NA,5,4,2,2,28,Male,NA,English,NA,3,3,NA,NA,NA,NA,2,3,NA,NA,NA,NA,FALSE
R_1dbrPCwAhcRuEBG,Study 1A,-1,Moral Message,4,4,4,4,3,2,5,2,4,4,4,I kept thinking where does this person get their numbers and facts from? I missed some sources backing up his claims.,"Well sure, it sounds tragic that all those animals die, but is it actually true? I would like to see sources, and not just numbers mentioned in the article.",I have a hard time believing that the fleet of trucks had to be doubled.,"The writer seems very close minded, and strikes me as the type of person who would not be open to alternative ideas.","Disagreeing is one thing, but this person seems to hold a personal grudge against recycling.","If anything, I like recycling even more after reading this article.",5,5,1,1,28,Male,NA,English,NA,3,3,3,2,3,2,2,2,2,2,3,2,FALSE
R_2E5E8jSMmOUFp0J,Study 1A,1,Practical Message,4,4,4,3,4,4,3,2,4,4,4,"The idea of arguing against recycling seems very strange, considering I grew up being told to always recycle. The professor's ideas are hard to accept, and I would not change my mind off one essay. However, I am open-minded on the subject.","The professor didn't seem to list an alternative to our current recycling plan. Even if it is partially cost-ineffective, what is the alternative? Dumping all our recyclables in a landfill? That doesn't seem right.",NA,NA,NA,NA,1,7,2,3,22,Male,NA,English,NA,3,3,NA,NA,NA,NA,2,2,NA,NA,NA,NA,FALSE
R_034k74kTJMCAHnj,Study 1A,-1,Moral Message,4,4,4,4,3,2,3,2,3,4,4,Recycling programs put more trucks on the road. That makes sense.,Recycling programs kill pets by putting more trucks on the road.,Increased trucks create pollution.,"The claim that recycling is ""immoral"" seems a bit of a stretch.",NA,NA,2,6,1,1,45,Male,NA,English,NA,3,3,3,2,NA,NA,1,1,1,2,NA,NA,FALSE
R_3DjyUZWLn2XyFTN,Study 1A,1,Practical Message,4,4,4,1,5,1,1,1,-1,-1,-1,Recycling is costly,Nobody wants to live near a recycling plant,It contaminates the water and air,NA,NA,NA,1,7,1,1,31,Female,NA,English,NA,3,3,3,NA,NA,NA,1,1,3,NA,NA,NA,FALSE
R_BFhg8WVr0JOGFRD,Study 1A,-1,Moral Message,4,4,4,2,5,2,3,2,4,4,4,Article was funny.,Article missed its point concerning recycling.,Recycling is good.,NA,NA,NA,2,3,2,2,29,Male,NA,English,NA,4,3,2,NA,NA,NA,3,3,2,NA,NA,NA,FALSE
R_3LYcXOXQcAw7Fbo,Study 1A,1,Practical Message,4,4,4,5,5,2,5,2,4,4,4,The economic argument against Recycling is pretty solid but economics is not everything.,If the plant is that big of a concern regarding housing then the surrounding area should be converted into other spaces and people move into different areas of the same town.,Even with the loss of overall efficiency we do have a finite amount of resources on this planet so for the long haul we really do need to limit our over waste of goods.,NA,NA,NA,1,7,4,5,31,Male,NA,English,NA,3,3,3,NA,NA,NA,3,3,2,NA,NA,NA,FALSE
R_AFkDxBiGXAVkxHP,Study 1A,-1,Moral Message,4,4,4,5,5,3,4,3,3,4,3,"""I doubt the validity of this article. I see this as being full of holes""","""California has the strictest vehicle emissions testing program in the country. I doubt those trucks create that much of a health hazard. If you make the trucks fuel efficient or green that would negate this.""","""More trucks meaning more pets run over? Seriously? Is that an argument he tries to use? The Los Angeles area has so many cars as it is I doubt these trucks make a dent in how many pets get run over"".","""The processes of recycling could be given another look I suppose. If this is causing pollution to recycle things then maybe we can work to change that"".","""So PETA says animals living near recycling plants lead shorter lives? I suppose he could cite the article showing that"".","""I'm unconvinced. He needs to go back and rethink his research as this doesn't hold water"".",5,4,1,1,35,Male,NA,English,NA,2,2,3,3,3,2,2,2,2,1,2,2,FALSE
R_28D4qBAMJt4GDwt,Study 1A,-1,Moral Message,2,2,3,2,3,3,3,3,-1,-1,-2,Pets and animals are harmed by the recycling trucks.,The recycling truck pollute just as much as not recycling.,NA,NA,NA,NA,5,6,3,3,33,Male,NA,English,NA,3,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,FALSE
R_bPhNG1B4PTj5Wz7,Study 1A,-1,Moral Message,3,4,3,4,2,1,4,2,2,3,2,"recycling retuns onm invest have gone done, diminishing returns on it",everything we do is toxic these days,that is why i consume as little as possible,NA,NA,NA,3,2,1,1,53,Female,NA,English,NA,4,3,3,NA,NA,NA,1,3,3,NA,NA,NA,FALSE
