"Data from: PONE-D-18-12899  --  Hot and bothered: Public attitudes towards heat stress and outdoor access for dairy cows
",,,,,,,,,,,,,,,,,,,
How much do you disagree/agree with the way these cows are being raised?,How inappropriate/appropriate do you consider the cow's living conditions to be?,Do you consider the way these cows are living to be unacceptable/acceptable?,Please explain your general opinion about the scenario you read.,If there were one thing you could change about this farm what would that be?,"How unlikely/likely do you
4,4,4,"The dairy cows have room to graze, and they are unlikely to suffer from heat stress on warm days. This sounds reasonable to me, especially as contrasted with cows kept in confinement.",I would make sure that they have a diverse array of wild foliage to eat.,2,3,4,4,3,4,46,1,2,7,4,2,2,2,2
2,4,2,cows,grazing,3,3,2,5,4,4,30,1,2,3,4,2,1,2,2
4,3,4,Some cows live in a nice pasture and have shade.,Larger pasture,2,5,5,5,4,4,34,1,2,5,1,2,2,2,2
4,4,4,good,no,4,4,4,4,4,4,23,1,1,6,5,1,1,1,1
4,3,4,,,4,4,4,3,4,3,31,1,1,5,5,1,1,1,1
5,5,5,Well it seemed like a fine place for cows to live.,Nothing really,1,3,5,5,2,5,36,1,2,2,1,2,1,2,1
4,4,4,The cows are kept comfortable with fans,Make sure they have lots of outside time,2,4,4,4,4,4,52,2,3,4,3,2,2,2,1
5,5,5,It seems like the cows are treated very well and kept cool and have access to food,nothing really considering most places are worse,1,5,5,5,2,4,22,1,2,3,3,2,1,2,2
3,3,3,,,3,3,3,3,3,3,36,1,2,6,1,1,1,2,1
5,1,1,The cows are suffering and that is unacceptable.,Make it more cow friendly by not letting them suffer.,5,1,1,1,1,1,29,1,1,3,1,2,1,2,2
2,2,2,It seems that the cows were free to graze but were subject to harsh elements and suffered from them.,There should be sufficient shade on the farm.,4,2,2,3,3,3,29,1,1,5,7,1,1,2,1
3,3,4,"Don't really have much info so can't really comment much, but doesn't seem that bad compared to other animal situations.",Time outside I guess.,3,3,3,3,2,3,29,1,1,3,3,2,1,2,2
4,4,4,"The cows have access to food when they're hungry and fans to keep the temperature comfortable, so it sounds like they're doing fine.","Maybe give the cows an outside space? I know cows like to graze on grass, so a big field would be good.",2,4,3,3,3,4,54,2,2,3,1,2,2,2,2
2,2,2,I don't like to think about livestock living miserable lives for the sake of human consumption. It makes me very uncomfortable to think about it.,Humane living conditions and care for the cows.,3,3,2,3,2,3,48,2,1,5,3,2,2,2,2
4,4,4,Cows in the wild wouldn't have fans either so these cows don't necessarily need fans either. I think the cows will be fine because they can just stand still or lay down with little movement if they want to keep cool.,Adding more shade would be appropriate for these cows such as more trees or some sort of shelter so the cows are covered from direct sunlight.,2,4,4,4,4,4,27,2,2,5,3,2,2,2,1
1,1,1,Animals should be allowed to have shade. It does not matter what type of animal it is or its purpose. It is unfair to not allow them to have comfort when it is hot outside. ,It would offer shade for the cows to graze under on hot days.,5,1,1,1,2,2,51,2,2,4,3,1,1,2,2
4,4,3,cows being raised,more cows,4,3,4,3,3,3,25,1,1,4,3,1,1,1,1
2,4,4,The cows are treated well and they have a place that has shade for them. The scenario seems plausible.,Maybe a place that was indoors for the cows and that place could have air conditioning for the cows on very hot days.,2,4,4,4,4,5,49,1,1,2,1,2,2,2,2
5,5,5,i think its a good way to have the cows they are in a comfortable barn where its cool and they are fed properly so i think they are doing good, nothing that i can think of,1,5,5,5,4,4,34,1,2,2,3,2,1,2,1
1,1,1,I think it's cruel that the cows are kept in a barn and are forced to suffer from the heat on warm days. ,I would allow the cows to graze outside.,5,1,2,1,1,3,56,2,3,2,2,1,2,1,1
2,2,2,The cows should have a shaded area so that they can feel comfortable during extremely hot days.,"I would add a shaded area or cooled area, where the cows can cool off during hot summer days.",3,3,3,3,5,4,28,1,1,5,5,2,2,2,2
2,2,2,Seems like a needlessly harmful environment,better ventilation and living conditions,4,2,2,2,2,4,56,1,1,4,2,2,2,2,2
3,3,3,"I think it's good the cows are allowed to graze freely. I do think it's bad that they have no shaded areas on hot days, but I think there are far worse conditions the cows could be in, and many dairy cows are in fact kept in worse conditions.",Probably construct a simple shelter the cows could stand under.,3,4,3,4,4,3,46,1,2,5,4,2,1,2,2
1,1,1,Providing shade for them seems to be a easy thing to provide for them. I don't really see any excuse for them to be in the sun all day long with no shade.,That the conditions for the cows would improve. Especially providing them with shade.,4,1,1,2,4,3,31,1,1,4,2,2,1,2,2
2,2,2,"The cows have plenty of food, but suffer from stifling and hot conditions. While one thing is fair, the other is not.",Add in fans or allow the cows to go to a cooler place.,4,2,2,2,3,3,37,2,2,4,3,2,1,2,2
2,3,3,"even though they have access to food, their enclosure makes them unable to relieve themselves from the heat",either give them access to a ventilated area or install fans,4,3,3,3,2,3,22,1,2,3,6,2,1,2,2
5,5,5,The cows are living in a stressful and safe environment for a cow.,Have some water buckets near the cows.,1,5,5,5,5,5,63,1,2,5,6,2,1,2,1
1,2,2,I think that they should be provided with some area that will prevent them from injury when it gets too hot.,That there was a shaded area of some sort that they could go when it became too hot in the sun.,3,2,2,2,2,3,25,2,2,5,4,2,2,2,2
1,2,3,"I think the cows shouldn't be raised for dairy at all, but if they were, these living conditions are the least that could be done.",Grow plants instead of raise cows.,5,1,2,1,2,3,40,1,2,5,3,1,2,2,2
4,5,4,"Well, cows need to be in a pasture to graze(eat). These are and the pasture has a shady area where the cows can go when it's hot. Adequate conditions.",provide a lake near woods where cows could go in the water.,2,3,4,4,3,4,60,1,1,5,1,1,1,2,2
3,3,3,"I don't think there's enough information given. Dairy cows are typically milked, so there must be provisions for them to be moved out of the pasture into some sort of shelter where they can be milked. I can't really judge without knowing how frequently they're moved.",Adding shaded areas.,3,3,3,3,4,3,35,1,2,5,4,2,1,2,2
1,1,1,"I'm not sure why cows can't get fans installed of where they're at? It doesn't make any sense. Clearly, it's not an ideal situation anyways but this seems like a way to make them a little bit happier.",At least put some fans in. How hard is that? It wouldn't really cost that much and you may need to some wiring but it's an investment.,5,2,1,2,2,3,30,1,2,5,5,2,1,2,1
5,5,5,Cows are animals. They are bred to be food producers. I really don't care so much about their living conditions.,Nothing.,3,4,4,3,4,4,34,1,2,6,6,2,1,2,2
4,4,4,they are taking good care of the cows naturally.,nothing,4,4,4,4,4,4,45,2,2,4,3,1,2,1,1
3,3,3,"Generally, I think there is more to this conversation then one side.  Since all I have seen on this subject, is that there may be a warm barn, I am reserving judgement.",I have no idea.  I don't have any real information.,3,3,3,3,1,3,50,1,3,3,1,1,2,1,1
3,4,4,It seems like the cows have the choice to go in the shade and are not over-heated,More space,3,3,3,3,3,4,34,2,2,6,4,1,2,2,1
2,2,2,Cows need to spend at least part of their days outside in a pasture setting. ,The cows would spend some time outside every day.,4,2,2,2,2,2,60,2,1,4,3,2,2,1,1
3,3,3,Since I only read about a few things the farm I can't really judge fully about the overall treatment of the cows. I would want to know more,I guess it would be the access to the outdoors,3,3,3,3,2,3,27,2,1,5,4,2,2,2,1
4,4,4,They are free to roam and have an area to cool off from the sun so it seems like an acceptable living experience.,Provide more space for the cows,3,4,4,4,3,4,20,1,1,3,4,1,1,2,2
4,4,4,The cows have a place to get exercise and roam with trees for shade. This is good. The animals happiness is the most important consideration.,That they have access to an indoor area that has cooling mechanisms for the hottest of days.,2,3,3,4,4,4,27,2,2,5,1,2,1,2,2
4,4,4,,I don't know,4,4,4,4,4,4,36,1,3,6,2,2,1,2,2
2,2,2,I don't think the cows were being treated ethically. ,Change all of the living conditions for the cattle,2,2,2,2,2,2,37,2,1,2,1,2,2,2,2
4,4,4,Seems like a reasonable scenario for the cows to be in.,give them more shade,2,3,3,4,4,4,34,1,2,6,5,2,1,2,2
1,1,1,The cows are held in inhumane conditions with no way to combat heat stress for the cows.,I would add ventilation to the shed so the cows would not experience heat stress.,5,1,1,1,1,2,27,1,1,6,5,2,2,2,2
2,2,2,"If there is a known issue with their environment, in this case, heat, then it is inappropriate to allow them to continue to live that way.",Install fans to make the environment comfortable for the animals.,4,3,2,2,1,3,32,1,2,5,5,2,2,1,2
1,1,1,if the cows are kept in too much heat they will die,more shade,5,1,2,2,3,2,26,1,1,5,5,1,1,1,1
3,4,3,The cows are living in a large barn so they clearly have room to move around. The fans keep the cows from getting stressed from heat so it seems like they re doing ok.,I think that the cows should be in an air conditioned building just in case the fans do not work.,2,3,3,3,2,4,37,2,2,3,2,2,2,2,2
2,2,2,The cows will likely suffer from heat stress because the pasture where they graze does not have any shaded areas. If they're kept on these pastures there should be trees or areas of shade provided so that they can keep away from the heat causing them to suffer from heat stress.,I would plant more trees or provide more shades for the cows.,4,2,2,2,3,2,41,1,2,5,4,2,1,1,1
2,2,1,That the cows are not kept in a great environment.,I think they should treat the animals better.,4,2,2,1,2,3,35,2,2,3,3,2,2,2,2
2,2,1,"So these cows give off their lives to serve products and make money for the company that owns them, but the company doesn't even provide their entire needs? Why is the government so useless as to make a few simple regulations?",Provide enough fans to cool all the cows.,4,2,2,2,4,2,35,1,2,4,3,2,2,2,2
4,5,5,"I feel like since there was a fan to help them handle heat better, the condition of the dairy cattle was acceptable. ",I don't know enough about dairy farming to come up with any informed ideas about any possible beneficial changes.,2,3,3,4,2,4,53,1,3,5,1,2,1,2,1
4,3,4,I thought it was a bit sad,I would change the way the sun hits it,3,4,3,2,3,3,27,1,1,3,3,2,2,2,1
4,4,3,,,3,1,3,5,5,2,27,1,2,4,3,2,1,2,2
3,3,4,Hopefully the cows are allowed to step out in the field regularly.,Allow the cows to go outside on the field.,3,3,4,3,2,4,26,1,2,3,1,2,1,1,1
1,1,1,I believe the cows need to have access to some sort of air cooling or at least a fan. ,"Fans for the cows, they are living beings.",5,2,2,2,3,2,29,2,3,5,3,1,1,2,1
5,5,5,It seems to provide good living conditions for a cow,Bigger area to roam around,2,3,4,3,2,4,25,1,1,1,1,2,1,1,2
3,1,1,I think that they deserve to be treated like a being that is alive.,Bigger barns.,1,1,1,1,1,1,26,1,1,2,1,2,1,2,2
4,3,4,at least they are not being kept in an 8 by 8 stall and not seeing the sun at all.,"i wouldn't change much
",4,4,4,4,4,3,44,2,2,3,5,2,1,2,1
3,4,2,very sad,i would keep it clean,3,1,2,2,2,3,25,1,1,5,4,1,2,1,1
4,4,5,"The cows are not being kept under harsh conditions. From this, I assume they are not abused, so these are good conditions for dairy cows.",I'm not sure.,2,4,4,4,3,4,30,2,3,2,1,2,2,2,2
3,3,4,,,5,2,3,3,5,4,24,1,2,4,3,2,2,1,1
1,1,1,"I think its awful that the owners of this farm do not provide shade for their cows, and that it is causing the cows stress. The cows are providing them with an income, the least they could do is give them a shaded area.",I would change who owns the farm to someone who has compassion.,5,2,2,2,3,3,50,2,2,2,4,1,1,2,1
1,1,1,It is extremely cruel to make cows live in a pasture where with no shade where it gets so hot they are likely to suffer heat stroke.,Give them lots of shade or cool barns so that they are comfortable.,5,1,1,1,4,2,22,2,3,4,5,1,2,2,2
2,2,2,The dairy cows are kept in a barn with little to no ventilation. I think they would be better off in a field where they can graze freely.,"The cows should only be kept inside to get out of bad weather, otherwise they should be allowed to graze freely.",4,2,2,2,2,3,41,2,2,2,4,1,2,1,1
3,2,3,I think they should be outside but at least they seem to be in decent conditions inside.,That the cows would be free range and grass fed,4,3,3,3,2,2,47,1,1,8,3,2,2,1,2
5,5,5,I am in favor of the scenario.,That there were more cows on it.,1,5,5,5,5,5,60,1,1,3,6,1,1,2,2
4,2,5,well I think it's fairly generic honestly,I would increase production and make more money,3,5,3,4,4,4,30,1,3,4,3,1,1,1,2
3,4,4,"While I prefer cows to roam free, there have been precautions taken to prevent heat stroke and illness.",Free-roaming versus having them caged,3,3,3,3,3,4,28,2,1,5,2,1,2,2,1
3,4,4,Well first let me say dairy farming is one of the cruelest industries there is. I recently /this year found out about a lot of the practices and it disgusts me. So I am skepticalof what else is being done in this scenario.. But in regards to the cows out in a pasture able to graze i think this is a much more humane way of letting them live. But it does not go into the other details of dairy farming practices so unsure.,That the cows were put to work at all.,3,3,4,3,4,3,33,2,1,5,3,2,2,2,1
5,5,5,The cows are treated well. They get all the food they need. The heat does not harm them. ,Nothing,1,5,5,5,4,5,20,2,1,3,3,1,2,1,1
4,4,5,I think it is interesting,"how the animals are int he area
",3,4,4,2,4,3,38,1,3,4,3,2,1,1,2
1,1,1,I think it's horrific that the cows are not provided shade,Provide a shaded area,5,1,1,1,3,1,31,2,2,6,3,2,2,2,2
3,3,4,"I think that cows that are raised specifically for the means of consumption should have good lives, but I also know that providing this would increase cost of steak and milk therefor hurting a lot more people than the cows that were going to die anyway. ",plant some more trees for some natural shade in the center of the pasture ,1,3,4,4,4,4,22,1,2,5,7,1,1,2,2
2,3,4,The cows should adjust to all kind of weather.,providing shade to the cows,3,4,4,2,4,2,34,2,2,5,3,1,1,1,2
2,2,2,This seems to be animal cruelty. The poor cows have to bare the heat in order to have food. Can they even go outside if they want?,Put adequate ventilation in the barn,4,2,2,2,2,3,40,1,1,5,4,1,1,2,1
4,4,3,,,1,3,5,3,4,2,27,1,2,4,3,1,1,1,2
2,2,3,Even though the cows are animals they should not have to suffer from heat stress,Install fans for the herd,4,2,2,2,4,3,33,2,1,5,3,2,2,2,2
1,2,2,I think cows are not treated as well as they should be but it's a slippery slope.  I'm a bit at a loss but I still think it's wrong.,Treat them with more respect not like a business aquisition.,4,2,3,2,2,3,27,1,3,2,1,1,1,2,2
5,5,5,because they are treated well in these farm,none they have done a good job,2,4,4,4,4,5,26,1,3,5,3,2,2,2,1
1,1,1,The cows shouldn't be subjected to sub-par living conditions. I know nothing of dairy farming but since they are being raised for that sole purpose then they might as well be made to live as comfortable as possible.,"Let the cows be free-range. (Live and graze in the open, access to food and shelter when needed, no abuse inflicted on them)",5,2,1,1,1,2,32,1,1,2,1,2,2,1,2
2,2,2,"Though they have access to food, they are subjected to overheating which is very stressful on cows.",Allow them to roam outside,5,1,2,2,1,2,44,2,2,6,5,2,2,2,2
3,2,2,All animals should be treated humanely.,"I'm not entirely sure, I'm not an expert on cows but I'm sure it could be improved.",2,3,4,3,3,4,21,1,1,3,4,2,2,2,2
3,3,4,"I feel like the cows have enough food to eat, although I have no idea about the environment they actually live in.",more area in the barn,2,3,3,4,3,4,28,2,2,5,4,1,2,1,1
3,4,3,"The cows seem to be well looked after.  They have access to food and are kept cool in warm months.  Beyond knowing anything else, the situation seems fine.",That the cows were allowed to roam freely. ,2,3,4,3,3,4,51,2,1,8,4,1,1,1,1
4,4,4,i think it is okay,install ventillation,2,4,4,4,3,4,23,2,2,5,7,2,2,2,2
3,2,2,"I don'tt 'like that they're out in the heat like that, but not sure what we could do about it that was practical and affordable, either. ",It had a larger barn. ,3,3,3,3,4,4,32,1,2,5,2,2,1,2,1
3,5,5,"All you told me was that they had food and fans. That sounds acceptable for cows. Not the best, but better than nothing.",Get rid of it and create all food in labs instead. Those cows don't need to exist.,2,3,3,3,1,3,31,2,3,5,1,2,2,2,1
2,3,2,I think that animals have to be treated fairly and with less pain as possible,I would add more innovation.,4,3,2,4,2,4,27,2,1,5,4,2,2,1,2
2,2,2,I think cows should have the freedom and experience to be outside as well as inside.,Give the cows access to outdoors.,4,2,3,2,2,4,45,2,2,6,5,2,1,2,2
5,5,5,I am sure the cows love where they live and are perfectly comfortable and fine.,More cows for more meat.,1,3,5,5,5,5,54,1,1,7,6,2,1,2,2
3,3,3,Indifference.,"Nothing. Don't care, as long as I get my milk.",2,3,3,2,2,3,59,1,1,5,1,2,1,2,2
2,2,2,I think we should treat animals in the same manner we wish to be treated which would not include being subjected to heat stress for me personally,Install some air conditioning,4,2,2,2,3,3,44,2,2,2,4,1,1,1,1
3,3,3,,,3,3,3,3,3,3,24,2,3,5,1,2,2,2,2
3,4,3,"It is good that they have fans and are fed, but they should be allowed to roam free",They should not be kept as farma nimals,3,3,4,4,3,4,28,1,2,5,2,2,1,2,1
2,2,2,I believe it's unacceptable that they have nowhere to find shade.,I would create an area with shade.,4,2,2,2,4,2,29,1,3,5,3,2,1,2,2
2,2,2,The cows should be at a comfortable temperature,Fix the air conditioning.,4,2,2,2,4,2,31,1,2,3,2,2,1,2,2
1,1,1,"So, because a dairy cow has access to food and gets a fan to circulate the air this is supposed to be considered humane? What about the horribly painful machines they are hooked up to for milking? What about how awful it is for their young to be ripped from them so humans can steal their milk? These are affectionate animals that love their young. These cows are not properly cared for. No animal deserves to be used like this. There are enough alternatives that no one should every need milk from a cow. What happens to the cows when they're done producing? What about the young that become part of the veal industry? Factory farming is cruel and unnecessary.",That it wouldn't exist!!,5,1,1,1,1,1,44,2,3,3,1,2,2,2,2
2,2,2,I think cows should have a lot of space to enjoy their lives as long as they can,More room,4,1,2,2,2,2,34,2,3,2,2,2,2,2,2
1,2,2,The cows should have at least one shady spot where they can get out of the hot sun if they need to.,I would add a structure or a shade tree they could lay underneath for shade.,4,2,2,2,4,3,35,2,1,2,1,2,2,2,2
3,3,3,not really sure what to think.,make the cows happier.,3,3,3,3,3,3,32,2,1,5,2,2,1,2,2
4,4,4,"I think the cows are living an appropriate, natural existence.",Nothing ,1,5,5,4,4,5,49,1,3,5,4,2,1,2,2
3,3,4,They are cow and there to assist ranchers with supplying milk and such.,more open space,2,3,3,3,3,4,62,2,2,3,1,2,2,1,1
3,3,3,Cows probably dont care too much about their living conditions.,I would make it larger,3,3,3,3,2,4,35,1,2,5,1,2,1,2,2
4,3,3,The way cows are treated ,Be more humane ,3,3,3,4,4,4,24,1,1,5,2,2,1,1,1
1,1,1,The cows need shaded from the sun during the hottest part of the day.,The cows need shade.,5,2,2,2,4,2,70,2,3,3,1,2,1,2,2
1,1,1,"I do not drink milk. I believe humans do not need cows milk in their diets. Also, I do not like the idea of animals giving birth so humans can get the milk intended for their offspring. Raising cows inside goes against the nature of an animal that should be grazing outside.",That it even is operating. ,5,1,1,1,1,2,98,2,3,3,2,2,2,2,2
5,5,4,"The cows were in the pasture, grazing on the grass.  Its a lot better than being in a factory farm in a really cruel way for an animal to live. ","More shade and plenty of grass to eat. Also give them seaweed, it will help reduce the CO2 emissions from cow farts, that's help causing global warming. ",2,4,4,4,4,4,28,2,1,2,1,2,2,2,2
2,2,2,The cows should be protected from the extreme heat.,Find a way to protect the cows from the heat.,4,2,2,2,3,2,28,1,2,5,1,1,1,2,2
5,5,5,Cows are probably happy outside. ,Larger pasture area maybe. ,1,4,5,4,4,4,35,2,1,5,2,1,2,2,2
2,2,2,"outside is ok but there should be no chance for heat stroke-make more shade, water available",more covered places for them to go,3,2,2,2,4,2,31,2,2,5,4,2,1,2,2
3,4,4,"If the cows are being treated humanely, I don't have any issues with them being kept in a barn. ","With the limited information I have about the farm, I would only change adding more fans, to even further reduce the risk of them suffering from heat stress.",2,3,4,4,2,4,25,1,2,3,4,1,1,1,1
1,1,1,Animals should always be comfy and treated humanely,add fans or AC,5,2,2,2,2,2,43,1,1,2,3,2,1,2,2
2,2,2,The cows could suffer unnecessarily.,I'd prevent any animal from suffering from heat stress,4,2,2,2,2,2,29,1,1,5,3,2,2,2,2
3,4,3,"There wasn't much to read. Cows in a facility on a hot day, but with fans on.","Maybe AC instead of fans. Assuming there isn't much space in there, making it a bit larger.",3,3,3,2,2,3,22,1,2,4,4,2,1,2,1
1,1,1,It's totally unacceptable for cows to be living in those conditions because they should not be suffering from heat stress.,I would make it so that the cows had fans or air conditioning.,5,1,1,1,2,2,29,2,2,4,5,1,2,2,2
3,3,3,my gut decision was not to from an opinion,,3,3,3,3,3,3,27,2,1,3,3,2,1,2,2
3,3,3,couldnt decide either way really,,3,3,3,3,3,3,27,1,2,2,3,2,1,2,2
5,5,5,pastured is best,massage the cows,1,5,5,5,5,5,35,1,2,6,3,2,1,2,2
3,3,3,I didnt side on either side of the mtter,nothing,3,3,3,3,3,3,27,1,2,3,2,2,1,2,2
2,2,2,"Heat stress = lower milk production, why would a farmer lose money by not buying fans??","Have it automatic like in the video where the cows step up to get hooked up and it goes around and around, later own can be outside walking around",5,2,2,1,1,2,56,2,3,4,1,2,2,2,2
2,2,2,I think that the cows should not be heat stressed,Add some large fans,4,2,2,2,1,3,43,1,3,4,5,2,2,1,2
4,4,4,"The cows have decent enough living conditions and are not being exposed to outright cruelty. Therefore, I have no issues with their treatment.",I wouldn't change anything in particular.,1,4,4,4,3,4,28,2,2,2,4,2,2,2,2
2,2,2,I don't think it is fair to cause the animals any suffering from the heat,Plant a ton of trees and offer a covered overhang or barn for them to shade themselves in,4,2,2,2,3,2,36,2,1,2,4,1,2,2,2
4,2,3,I think it is a fair statement to think about if the cows are healthy or not,the way they are fed,3,4,2,3,2,4,22,1,2,3,2,2,2,1,1
3,3,3,"I need more details. It does sound like a nicer condition than most cows are raised in, but I only see the positives here. What other conditions like how they're fed/etc. are in play?",Make it clear how they're treated in other ways.,3,3,3,3,3,3,36,1,2,3,4,2,2,2,2
3,2,3,"That is probably how many cows go through life. The fact is that most cows probably experience much much worse circumstances. In the ""wild"" they would probably also experience heat stress without manmade shelters and assistance. There are too many other factors to consider.",Give the animals anytime access to a shaded area with water.,2,3,4,3,4,4,30,2,2,4,3,2,1,2,2
2,2,2,I think that they should put fans in so that the cows don't suffer from heat stress,Add fans to it.,4,2,2,2,2,2,26,2,1,5,1,2,1,2,1
4,3,3,,,3,5,2,3,2,2,33,1,2,5,4,1,2,2,1
4,4,4,my opinion about the scenario i just read is that the cows are being treated the way they should be treated. the cows are being treated as farm animals not some breeding machine for their milk or meat.,watering hole or a pond for the cows to bathe in,2,4,4,4,4,5,28,2,1,4,1,2,2,2,2
2,2,2,The cows should at least have a way to get out of the shade in the heat.,Give them trees to stand under.,3,2,2,2,3,3,39,1,1,5,2,1,1,1,1
2,1,1,It's not a good thing for the cows to be exposed to such hot and unshaded of an area they will possibly die from heat exposure.,Have a cooler location for them to romp around ,4,3,2,2,3,3,61,1,2,3,4,1,1,1,1
1,1,1,"I mean, have you worn leather in high heat before? ",Shadeded canopies where the cows could sit and enjoy netflix.,5,1,1,1,1,2,32,1,2,3,4,1,2,2,1
4,4,4,It sounds favorable for the cows especially since they have shade.,Nothing,2,4,4,4,4,4,35,2,3,4,3,2,2,2,2
2,2,2,"Given the premise, that the cows will be in fact stressed from a lack of shade, I would consider the farmer/owner crazy not to protect his investment by NOT providing adequate shade for his cows.","Stands of trees for shade, or a series of shaded areas to protect the herd from extreme heat/natural elements.",4,2,2,2,4,2,66,1,2,5,5,1,1,1,1
1,1,1,The cows don't have freedom to roam and are trapped in a room. They are subject to uncomfortable heat...that is animal abuse.,Give the cows a field to roam and graze at all times.,5,2,2,2,2,2,30,2,2,5,7,2,2,2,2
2,2,2,i like that they have as much food as they want but keeping them in a barn during warm weather is wrong.,that they keep the cows in the barn when it's hot.,4,2,2,2,1,2,41,2,2,4,5,1,2,1,2
5,4,4,The dairy farm is treating the cows humanely.  they are provided for food and fans when it is hot out.,I would allow the cows to roam about on the farm.,2,3,4,4,3,4,59,2,2,5,6,1,2,1,1
5,5,5,I am very much in favor of the way these dairy cows are treated.   Having a shaded areas to keep them from having heat stress is very important.  I wish farmers in New Mexico understood this as they keep hundreds of cows out in the heat and extreme sunlight of the day without being concerned over their conditions.,"I would want to be sure that they have adequate shelter during the winter time for protection from wind, weather and cold.",1,5,5,5,5,5,32,2,3,5,4,2,2,2,2
1,1,1,"We should not inflict unnecessary suffering on the animals we raise for food, we probably shouldn't even eat animals, but if we do, we should at least be humane.",Improve their living area---provide the animals shaded areas and a pond to cool off in.,5,2,2,2,2,2,46,1,3,5,1,2,2,1,2
4,4,4,It seems like they have adequate food and ventilation.,Grass fed cows,2,4,4,4,3,4,45,2,2,5,5,2,1,2,1
4,4,4,I come for the country and those cows are fine.,I would add a barn or shed maybe some trees.,2,4,4,4,5,5,24,2,3,1,3,1,1,1,2
1,1,1,the cows are being affected by the heat outside.,let them be indoors more,5,1,1,1,1,1,49,2,3,2,4,1,1,1,2
4,4,4,Cows that can find comfortable places to rest are raised as healthier than cows than farm that do not provide such places.,Don't know because lack of details of this farm.,1,5,5,4,5,5,38,1,2,2,2,1,1,2,2
2,2,2,"All animals deserve to have some shade from the elements, including the sun and rain. ","Add some shady areas
",4,2,2,2,2,3,25,2,3,5,3,1,2,2,2
1,1,1,They are mistreated.,I am not sure.,1,1,1,1,1,1,30,1,2,5,1,1,1,2,2
3,3,3,i dont have enough affirmation on this matter i dont know if they must be kept this way for the better of the dairy ,more information how they treat the animals ,3,3,3,3,3,4,22,1,1,4,7,2,2,2,2
2,3,2,"Cows are animals and shouldnt be caged, even in a barn. they should be allowed to free roam and enjoy the sunshine and grass!","The cows would be allowed to roam through the pasture and get sunlight and graze, the barn would be available to them at will.",4,1,2,2,1,2,39,2,3,3,1,2,1,2,2
3,3,4,"That is a very vague description of the environment. There are many other factors that would affect my opinion much more than the ones descibed. For instance, how crowded is it?",Add a large open pasture.,2,3,4,3,2,3,35,1,3,3,1,2,1,2,2
3,4,4,"They are cows ... I don't know, them being in the sun doesn't strike me as brutal living conditions. Maybe a shed so they can get some shade would be nice...",Give the cow a tree or a shed to get some shade.,3,3,3,3,4,3,30,1,2,6,3,2,2,2,2
4,4,4,I mean everything sounds good so far. I have no idea what information was excluded. Are the cows also beaten? Do they all have mastitis? I don't know. ,"I guess maybe if no one had to use dairy cows, as cows emit so many toxins into the environment. ",4,4,4,4,3,4,33,2,3,6,4,2,1,1,1
2,2,3,I feel they should have some cooling,Fans,3,3,2,3,4,3,27,1,2,4,3,2,2,1,2
2,3,2,livestock should be free range,new regulatio,3,2,3,3,4,3,36,1,2,3,3,2,1,2,1
4,4,5,The cows are kept in a barn and have adequate cooling systems(fans),It would be that they are free roaming cattle,2,3,4,2,4,4,28,1,1,6,5,1,1,2,2
4,4,4,I think the environment for the cows is fine because they have access to food and have fans when it gets too hot,maybe have an AC instead,2,4,4,4,3,4,34,2,2,6,6,2,2,1,1
3,4,4,Maybe plant a tree where the cows can get shade from the sun.,Build a shelter where they can get some shade,2,4,4,4,5,4,29,1,1,5,6,2,1,2,2
1,1,1,Animals are being mistreated that are allowed to become stressed from too much heat.,Plant trees,5,1,1,1,2,2,66,2,2,7,2,1,1,2,1
4,4,4,Cows are meant to graze.,I would change nothing.,1,4,4,4,3,4,27,2,2,3,1,2,2,1,1
4,4,4,sounds like the cows are being given some consideration as to their living conditions. they do not sound like they are mistreated in any way,something to make sure the cows are warm enough on cold days,2,4,4,4,4,4,39,1,1,5,6,2,1,2,2
2,2,2,I think it's slightly wrong that the cows don't have shade.,I would add in a shady area for the cows to take shelter,3,2,3,2,2,3,36,2,3,2,2,1,2,2,2
2,2,2,"The cow's could suffer from heat stroke, it's like leaving your child in a hot car.  Stress is detrimental to our health, so I would think it would be to the cow. It's milk and meat would have the effects of that and be passed on to consumers.","Add ceiling fans and water to cool them down or air conditioning, something that adds a cooling effect.",4,2,2,2,2,2,62,2,1,5,1,2,1,1,1
4,4,4,"They are allowed to roam and have access to food, so I feel those are good conditions.",I would make it cooler in the barn for them on hot days.,2,4,4,4,4,4,35,2,2,4,4,2,2,2,2
3,4,4,I don't think that in nature animals get fans ,Better wind conditions,3,3,3,3,3,4,50,2,2,5,5,2,2,1,1
2,2,2,I think if you are going to keep cows in an area and use them for profit you should make sure they are comfortable and have appropriate shade.,That the cows had appropriate shade,5,2,2,2,2,2,26,2,2,4,2,1,2,2,2
3,3,3,i have no strong feelings whatsoever,more sheep.,4,3,3,2,4,4,28,1,2,5,2,1,1,1,1
3,4,4,The cows are allowed to graze,That the animals are treated well,2,3,4,4,2,4,39,2,2,4,4,1,1,2,1
4,4,4,"Cows are used to the outdoors and will  be okay unless its gets very very hot.  I see them lay down in the shade and  go out to the stream when it gets too hot.
",It would be nice if the cows had fans but its not a necessity.,2,4,4,4,3,4,70,2,2,3,3,2,2,1,2
4,3,4,The cows didn't seem to have it really bad. ,Make it more friendly for cows and give them more room?,4,3,2,3,4,3,42,2,1,6,5,2,1,2,1
